 	i	bambini	non	possono	mangiare	non	possono	mangiare	il	gelato	prima	di	mangiare	</S>
a31	0.0694742	0.0746043	0.0766073	0.0771669	0.0773891	0.0772778	0.0768367	0.0764935	0.0749662	0.0763488	0.064345	0.0596188	0.0593848	0.0594867
a27	0.0241364	0.0478681	0.066754	0.0758933	0.121733	0.11375	0.135853	0.158462	0.110953	0.0681251	0.0513195	0.0194344	0.00394445	0.00177346
a20	0.0748209	0.0760715	0.0784994	0.0804199	0.081106	0.0804544	0.0798653	0.079409	0.0768496	0.0765818	0.0669642	0.0686306	0.053323	0.0270044
a31	0.0712428	0.0757354	0.077999	0.0795097	0.0803837	0.0799216	0.0799089	0.0797955	0.0782297	0.0769436	0.0689649	0.0702503	0.0538335	0.0272817
a37	0.0808506	0.0814357	0.086422	0.0908234	0.0921554	0.0908119	0.0911168	0.0902744	0.0848828	0.0756523	0.0495147	0.0513795	0.025351	0.00932937
a31	0.0767281	0.0784734	0.0819187	0.0847099	0.0856937	0.0848182	0.0846091	0.0841172	0.0809112	0.0775885	0.0621411	0.0626647	0.0394951	0.016131
a27	0.0823965	0.0830674	0.0874488	0.0911829	0.0922977	0.0911431	0.0912852	0.0903306	0.0846988	0.0752584	0.0493927	0.047634	0.0244633	0.00940069
a37	0.0765491	0.0775555	0.0794642	0.0808478	0.0813393	0.0807343	0.0793472	0.0785518	0.0749229	0.076915	0.0670794	0.0641724	0.0525676	0.0299536
a31	0.0750873	0.0758699	0.0778524	0.0793923	0.0798983	0.0794193	0.0792247	0.0789381	0.0771454	0.075844	0.066486	0.0683324	0.0550437	0.0314661
a22	0.0825999	0.0823544	0.0864793	0.090001	0.0909459	0.0898668	0.0899054	0.0889967	0.0838393	0.0754927	0.0511085	0.0491707	0.0278443	0.0113951
a31	0.0762841	0.0798002	0.0811417	0.0817998	0.0822979	0.0818838	0.0804173	0.0796521	0.0760568	0.0785491	0.0704532	0.0614379	0.0464265	0.0237995
