 	dovevo	comprare	il	pane	ogni	giorno	</S>
a31	0.153136	0.14611	0.142922	0.146308	0.146804	0.142558	0.122163
a28	0.16251	0.341803	0.214468	0.121583	0.0867009	0.054605	0.018331
a11	0.215086	0.189777	0.160158	0.154429	0.122967	0.0958152	0.061768
a31	0.197389	0.180185	0.15821	0.155379	0.132495	0.106561	0.0697801
a37	0.295926	0.233736	0.156781	0.120209	0.0704179	0.0686131	0.0543175
a31	0.226192	0.198398	0.164621	0.15298	0.112955	0.0854032	0.05945
a20	0.300344	0.237457	0.156869	0.114773	0.0671697	0.0682652	0.0551226
a46	0.216126	0.199591	0.175023	0.159342	0.115875	0.0805303	0.0535134
a31	0.158258	0.148091	0.142668	0.149204	0.147035	0.142165	0.112579
a20	0.311365	0.252241	0.157441	0.0953748	0.0605002	0.0686299	0.0544479
a0	0.192354	0.180529	0.169468	0.164493	0.135545	0.0938094	0.0638012
a31	0.161493	0.154163	0.151975	0.157095	0.152098	0.130297	0.0928793
a20	0.317523	0.246771	0.149215	0.0912612	0.0601274	0.0723403	0.0627624
a15	0.181327	0.17084	0.169738	0.169932	0.143448	0.0963785	0.0683351
a31	0.134745	0.129128	0.140914	0.159726	0.172383	0.151289	0.111814
a18	0.359938	0.241486	0.119126	0.0683379	0.0517685	0.0803399	0.0790046
a31	0.145229	0.136062	0.151435	0.17532	0.179057	0.123612	0.0892853
a20	0.417049	0.214425	0.0806093	0.0472032	0.0420409	0.0907687	0.107903
a18	0.152886	0.137913	0.148467	0.167019	0.166858	0.123313	0.103544
a46	0.140788	0.127264	0.139814	0.16898	0.186216	0.134818	0.102119
a8	0.0997111	0.0926225	0.10857	0.147397	0.213166	0.192918	0.145615
a20	0.094967	0.0882075	0.103715	0.141775	0.2098	0.201377	0.160159
a31	0.138743	0.123817	0.134783	0.164604	0.186613	0.145013	0.106427
a46	0.39207	0.159665	0.0668504	0.0509849	0.0459129	0.109137	0.175379
a31	0.0984664	0.0900007	0.0966139	0.127778	0.225008	0.201572	0.160561
a24	0.381591	0.100299	0.0350234	0.029376	0.0354968	0.116332	0.301882
a31	0.213861	0.144472	0.100391	0.0861409	0.106762	0.15803	0.190342
</S>	0.345993	0.0777605	0.0280563	0.026678	0.0357556	0.121459	0.364298
