 	avete	cucinato	le	verdure	</S>
a20	0.111981	0.141715	0.282234	0.254864	0.209205
a31	0.0494055	0.285678	0.298952	0.255572	0.110392
a37	0.0301957	0.142341	0.389319	0.305933	0.13221
a10	0.0335646	0.125034	0.34042	0.324784	0.176198
a20	0.0303263	0.113703	0.319751	0.331104	0.205116
a28	0.0401688	0.151254	0.292233	0.303978	0.212366
a20	0.0416843	0.150707	0.284359	0.300238	0.223012
a33	0.0500963	0.166802	0.258526	0.288521	0.236054
a8	0.060821	0.177901	0.206892	0.280393	0.273993
</S>	0.0793779	0.148909	0.199306	0.273683	0.298724
