 	devo	comprare	il	pane	ogni	giorno	</S>
a31	0.11994	0.148163	0.147144	0.149385	0.149119	0.147627	0.138622
a35	0.201819	0.275291	0.233684	0.138893	0.0817673	0.0524831	0.0160622
a20	0.169794	0.152358	0.140086	0.143977	0.137401	0.144217	0.112166
a31	0.172349	0.158313	0.14647	0.148847	0.139948	0.136479	0.0975952
a20	0.223921	0.195763	0.16214	0.149971	0.108471	0.0905427	0.0691925
a31	0.186433	0.169114	0.153922	0.154874	0.138105	0.119141	0.0784096
a20	0.222323	0.20297	0.168903	0.152314	0.105384	0.0834683	0.0646384
a13	0.18597	0.175279	0.161648	0.160203	0.139058	0.107724	0.0701186
a24	0.159912	0.15319	0.144163	0.147039	0.141754	0.142193	0.111749
a46	0.169689	0.162768	0.150652	0.152488	0.142092	0.130043	0.0922676
</S>	0.141955	0.142748	0.13524	0.139649	0.138546	0.153012	0.148851
