 	non	mi	aspetti	che	non	vengo	</S>
a31	0.120513	0.11021	0.069421	0.102508	0.141388	0.159164	0.296795
a37	0.114077	0.182063	0.295662	0.208579	0.147389	0.0419743	0.0102555
a31	0.102542	0.0901432	0.125147	0.140603	0.197149	0.192852	0.151563
a24	0.11429	0.0918631	0.124032	0.137494	0.216669	0.194062	0.121589
a46	0.104329	0.0804285	0.0983166	0.108396	0.179543	0.205103	0.223885
a31	0.108544	0.0843173	0.100433	0.113094	0.17796	0.201964	0.213688
a1	0.0950017	0.0654793	0.0662075	0.0741328	0.155042	0.215596	0.32854
a31	0.0984413	0.101157	0.128019	0.147432	0.174984	0.174831	0.175135
a20	0.166433	0.0895418	0.0616845	0.0559708	0.115946	0.180539	0.329886
a41	0.069053	0.0972683	0.0895016	0.125716	0.180706	0.185268	0.252488
a31	0.0513679	0.0762004	0.0652299	0.11824	0.182975	0.180856	0.325131
</S>	0.124873	0.0845729	0.0422306	0.0322841	0.0551352	0.0961671	0.564737
