 	l	ha	scritta	</S>
a20	0.0758174	0.147507	0.413007	0.363669
a31	0.278877	0.332866	0.259363	0.128894
a35	0.105926	0.172862	0.470972	0.250239
a31	0.0340065	0.114025	0.556739	0.29523
a35	0.0222923	0.0640772	0.577124	0.336506
a31	0.017198	0.0769251	0.557879	0.347998
a41	0.00885882	0.0234911	0.486417	0.481233
a31	0.00621484	0.0248349	0.510287	0.458663
a11	0.0038431	0.00861763	0.344307	0.643232
a18	0.0023155	0.00598363	0.316187	0.675514
a13	0.00132922	0.00405666	0.316274	0.67834
</S>	0.00206126	0.00534526	0.33623	0.656363
