 	il	ladro	è	entrato	da	qui	</S>
a31	0.0756316	0.186082	0.0980188	0.202856	0.201744	0.141493	0.0941747
a17	0.0385867	0.266524	0.150211	0.166424	0.228259	0.116407	0.0335881
a37	0.116774	0.20903	0.154429	0.172424	0.143901	0.124356	0.0790867
a35	0.091753	0.234461	0.142622	0.174915	0.136765	0.130279	0.089205
a18	0.108859	0.197011	0.135099	0.155931	0.125003	0.148541	0.129555
a31	0.104786	0.196888	0.135609	0.15783	0.128685	0.149546	0.126657
a24	0.043755	0.287486	0.113935	0.188439	0.145982	0.126858	0.0935451
a31	0.0991291	0.230055	0.153532	0.179599	0.150253	0.112175	0.0752559
a16	0.0364294	0.275711	0.0999914	0.19142	0.161873	0.13217	0.102405
a31	0.0980574	0.207275	0.164663	0.182859	0.164034	0.108845	0.0742652
a46	0.0182009	0.254828	0.0576563	0.192325	0.192541	0.156907	0.12754
a31	0.0487296	0.151856	0.152671	0.197943	0.194158	0.152218	0.102423
a46	0.00409437	0.14661	0.0144143	0.177906	0.231053	0.226407	0.199516
a31	0.0245755	0.111369	0.102984	0.229609	0.245072	0.171505	0.114884
a35	0.00137489	0.0696208	0.00647611	0.130903	0.240054	0.280641	0.27093
a31	0.0121955	0.0841705	0.0542833	0.241768	0.287667	0.186984	0.132932
a8	0.000635305	0.0372448	0.00409725	0.0779369	0.220839	0.319371	0.339876
a31	0.00999404	0.0547202	0.0327614	0.210933	0.318053	0.221625	0.151913
</S>	0.000378851	0.0218011	0.00319184	0.046803	0.189431	0.338118	0.400277
