 	non	vuole	mangiato	mangiato	tutta	una	volta	</S>
a31	0.0762843	0.0814063	0.10806	0.144729	0.201877	0.211639	0.106308	0.069696
a39	0.0135654	0.010593	0.0197318	0.0443259	0.317024	0.513469	0.041438	0.0398531
a41	0.015846	0.0228993	0.0446262	0.088764	0.351408	0.380708	0.0486971	0.0470517
a39	0.0136599	0.0382714	0.110877	0.160083	0.281288	0.256422	0.0691139	0.0702848
a20	0.0431399	0.0854263	0.141182	0.161552	0.202309	0.186522	0.0992058	0.0806634
a0	0.0349958	0.0777095	0.147512	0.167163	0.198147	0.168464	0.102071	0.103938
a31	0.0474839	0.0913053	0.146248	0.157546	0.17355	0.150072	0.112603	0.121192
a13	0.00824235	0.0217207	0.0875366	0.149517	0.295994	0.292011	0.063055	0.0819231
a17	0.0591168	0.0962373	0.139869	0.154983	0.182885	0.178985	0.107726	0.0801973
a31	0.051547	0.0819923	0.131564	0.155114	0.173962	0.172528	0.130704	0.102589
a3	0.00135886	0.0034234	0.024022	0.0990031	0.31844	0.397338	0.0691419	0.0872729
a46	0.0143243	0.0273598	0.082255	0.148829	0.26079	0.28264	0.10138	0.0824221
</S>	0.0141776	0.0219448	0.0659295	0.151074	0.240628	0.250065	0.144857	0.111323
