 	i	bambini	piccoli	a	volte	si	vestono	pure	da	soli	</S>
a20	0.0896231	0.0934377	0.0943047	0.0949011	0.0944153	0.0941961	0.0932442	0.0815028	0.0875155	0.0901605	0.0866991
a31	0.018437	0.0742223	0.0953777	0.0989102	0.137295	0.147087	0.149012	0.146254	0.0946059	0.0291989	0.00959995
a46	0.0598047	0.106451	0.0937646	0.127394	0.135441	0.131441	0.107751	0.092384	0.100131	0.0350395	0.0103982
a20	0.100688	0.0852295	0.070246	0.105887	0.108271	0.10136	0.0784454	0.0807578	0.104982	0.0973712	0.0667619
a31	0.0986906	0.0841741	0.0683558	0.106847	0.109669	0.101951	0.0770417	0.0782812	0.106093	0.0990604	0.0698361
a29	0.117593	0.0840847	0.0587076	0.129613	0.137679	0.117567	0.0697235	0.054682	0.115888	0.0817562	0.0327067
a31	0.105826	0.0834591	0.064717	0.114036	0.118165	0.106701	0.0742304	0.0724561	0.110541	0.0953942	0.0544751
a37	0.11756	0.0890104	0.0643343	0.12664	0.13254	0.117642	0.0749305	0.0580853	0.109298	0.0760101	0.0339494
a31	0.106546	0.0893453	0.0718151	0.112919	0.115852	0.107756	0.0805479	0.0754675	0.105069	0.0861883	0.0484944
a41	0.117873	0.0984832	0.0751492	0.125573	0.129546	0.120144	0.0841149	0.0592954	0.0983891	0.0628239	0.0286083
a8	0.104213	0.0925239	0.0778654	0.10913	0.111089	0.105733	0.0850217	0.0778703	0.099646	0.0847505	0.0521573
a31	0.0971193	0.0889362	0.0768663	0.101533	0.103005	0.0989332	0.0828979	0.0772934	0.0929284	0.0949022	0.0855846
a20	0.115034	0.111001	0.0951592	0.122366	0.124557	0.121038	0.0967363	0.055385	0.0823224	0.0508829	0.0255184
a0	0.100271	0.0937572	0.0822281	0.105288	0.106591	0.102955	0.0876055	0.0773864	0.0939148	0.0873591	0.0626432
a29	0.0968272	0.0886002	0.0768676	0.101622	0.102984	0.0988	0.0828671	0.0774093	0.0933206	0.0953329	0.0853691
a31	0.098162	0.0825659	0.0681717	0.104862	0.107036	0.099428	0.0757738	0.0729198	0.0992421	0.101912	0.089927
a24	0.108661	0.0950123	0.0779469	0.120444	0.122746	0.11455	0.0845407	0.0582219	0.0965463	0.0774744	0.0438563
a17	0.102533	0.0963404	0.0838391	0.110733	0.112131	0.107594	0.089501	0.0744584	0.0934718	0.0803803	0.0490177
a8	0.097928	0.0945412	0.0781961	0.111099	0.113297	0.107251	0.0849683	0.0640341	0.0830908	0.0905619	0.0750332
a31	0.0947731	0.101973	0.0899989	0.107985	0.109415	0.10671	0.0935672	0.0654289	0.0760563	0.0836552	0.0704381
a18	0.0964046	0.116743	0.113272	0.132773	0.130799	0.127228	0.1028	0.0273205	0.0634422	0.0581817	0.0310362
a38	0.0940606	0.111442	0.0980323	0.114815	0.116497	0.113969	0.0996746	0.0555916	0.0672075	0.0745141	0.0541972
a31	0.0902462	0.116827	0.100856	0.117691	0.119864	0.117256	0.101805	0.0508621	0.0599744	0.0707795	0.053839
a8	0.0848152	0.129425	0.130429	0.156999	0.151097	0.145297	0.10047	0.00954937	0.0350936	0.0389615	0.0178636
</S>	0.0780637	0.149425	0.101536	0.132121	0.141403	0.138053	0.09999	0.0351291	0.0420146	0.0480583	0.0342055
