 	tu	le	hai	cucinati	le	verdure	</S>
a46	0.0427208	0.119673	0.118784	0.0155037	0.20305	0.244119	0.25615
a8	0.111273	0.308794	0.384132	0.0846684	0.068143	0.0346865	0.00830286
a20	0.0864337	0.226953	0.252456	0.0739739	0.169664	0.141872	0.0486474
a8	0.0877729	0.277929	0.31179	0.0724938	0.126948	0.0967399	0.0263261
a31	0.0680133	0.17044	0.187788	0.0584638	0.204119	0.201911	0.109266
a37	0.0817973	0.428153	0.394419	0.0218434	0.0392818	0.0247794	0.00972626
a10	0.0808192	0.20504	0.201951	0.0357197	0.185243	0.202602	0.088624
a31	0.0866792	0.228635	0.222764	0.0334693	0.173247	0.184551	0.0706552
a21	0.0953045	0.345922	0.270366	0.0170136	0.101235	0.115067	0.0550916
a31	0.0562521	0.150787	0.162381	0.0322074	0.201112	0.238945	0.158316
a10	0.0871795	0.36505	0.247913	0.012348	0.0769269	0.124588	0.085994
a17	0.0670768	0.238088	0.226712	0.0135183	0.160476	0.196573	0.0975547
a20	0.028675	0.100545	0.122755	0.0152624	0.211327	0.288417	0.233019
a31	0.0270217	0.105011	0.129258	0.012286	0.211549	0.28504	0.229833
a39	0.0513807	0.284422	0.212901	0.00405863	0.0964087	0.190617	0.160212
a31	0.0213252	0.0759142	0.102537	0.0186899	0.230407	0.325197	0.225929
a8	0.048893	0.447197	0.252955	0.0012182	0.0420671	0.0895401	0.11813
a39	0.035338	0.0911483	0.111004	0.029135	0.174318	0.345922	0.213135
a8	0.0370836	0.0868909	0.10748	0.0177976	0.171781	0.332425	0.246543
</S>	0.0410513	0.0833147	0.100803	0.0292755	0.152709	0.325631	0.267214
