 	prima	di	andare	alla	scuola	</S>
a7	0.0313707	0.0772031	0.108973	0.123694	0.423026	0.235733
a11	0.0347897	0.147113	0.187546	0.177909	0.285379	0.167264
a43	0.0228315	0.121819	0.173696	0.217452	0.286138	0.178064
a20	0.0289256	0.123914	0.164984	0.216757	0.25929	0.20613
a31	0.0220544	0.103247	0.146348	0.221455	0.271353	0.235543
a20	0.00977947	0.0328505	0.0594622	0.189797	0.390611	0.3175
a31	0.0162597	0.0472513	0.0804591	0.201589	0.367631	0.28681
a20	0.0100497	0.0156618	0.0250381	0.110445	0.438419	0.400386
a31	0.0192644	0.0170964	0.0265051	0.094815	0.452427	0.389892
a20	0.024108	0.0167297	0.0244655	0.0866223	0.477199	0.370876
a31	0.0294009	0.0155578	0.0273071	0.0987936	0.539133	0.289808
</S>	0.0353869	0.01485	0.0240384	0.0876777	0.615995	0.222052
