 	il	vino	buono	deve	essere	invecchiato	</S>
a24	0.146481	0.0198327	0.0684601	0.173822	0.231794	0.200586	0.159024
a46	0.118586	0.0108832	0.12045	0.198338	0.32243	0.166634	0.0626783
a31	0.100444	0.00483818	0.0586863	0.150358	0.377995	0.194962	0.112717
a17	0.0611814	0.00259675	0.0297188	0.0892304	0.478159	0.164655	0.174459
a37	0.0897411	0.0040408	0.0490802	0.126099	0.364685	0.190367	0.175987
a31	0.0761629	0.00441525	0.0429365	0.101834	0.345393	0.190629	0.23863
a39	0.0606009	0.00127811	0.0231037	0.0827963	0.461862	0.171459	0.1989
a31	0.106744	0.0120297	0.103974	0.169361	0.246864	0.190699	0.170328
a37	0.0609759	0.000285169	0.0140996	0.0773592	0.503339	0.163789	0.180152
a31	0.0958087	0.00152883	0.0622521	0.190667	0.332845	0.174294	0.142604
a46	0.0273055	9.68434e-05	0.00390719	0.0365985	0.563746	0.156284	0.212062
a31	0.0368185	0.00214455	0.0509014	0.218168	0.351223	0.185671	0.155073
a46	0.00670046	8.71644e-05	0.00140973	0.0126076	0.645657	0.109256	0.224282
</S>	0.024043	0.00091938	0.0195113	0.175523	0.485345	0.156761	0.137898
