 	questa	canzone	è	scritta	da	un	poeta	nostro	</S>
a31	0.0842553	0.118364	0.116898	0.113483	0.109767	0.115451	0.109394	0.122713	0.109676
a24	0.0473064	0.227437	0.25212	0.214245	0.138641	0.057212	0.0157222	0.0383698	0.00894738
a31	0.127522	0.147121	0.102258	0.139618	0.130546	0.108774	0.0848311	0.116214	0.0431157
a20	0.131148	0.159762	0.0960065	0.144394	0.126937	0.101867	0.0794984	0.119086	0.0413006
a0	0.121104	0.152654	0.0978429	0.14253	0.130622	0.108429	0.0834783	0.120038	0.0433016
a13	0.0962119	0.123931	0.0856781	0.119496	0.115537	0.125526	0.116901	0.135289	0.0814299
a31	0.103421	0.12068	0.0876037	0.116919	0.113816	0.12268	0.116475	0.129659	0.0887467
a24	0.128163	0.15569	0.095261	0.140692	0.124022	0.104078	0.0822824	0.122682	0.0471302
a31	0.120709	0.146828	0.107351	0.139696	0.130257	0.1076	0.0846888	0.115778	0.0470921
a37	0.13508	0.161664	0.10908	0.145637	0.125686	0.092935	0.073519	0.109281	0.047119
a31	0.10851	0.146899	0.112496	0.140402	0.130639	0.107528	0.085768	0.117264	0.0504933
a20	0.136279	0.170846	0.125475	0.151014	0.124883	0.0810146	0.0655583	0.0980643	0.0468664
a31	0.0878187	0.144841	0.125691	0.140955	0.131769	0.108719	0.0873654	0.119518	0.053324
a39	0.132194	0.184438	0.144905	0.154992	0.118057	0.0684246	0.0589305	0.0901601	0.0478983
a31	0.0509225	0.132305	0.135644	0.134034	0.124919	0.115385	0.0981124	0.138531	0.0701467
a20	0.127986	0.212003	0.172366	0.154553	0.0965132	0.0498935	0.053032	0.0829702	0.0506827
a31	0.0532772	0.15077	0.155236	0.14704	0.129666	0.100369	0.0779055	0.127883	0.0578531
a20	0.0986117	0.236315	0.183028	0.1507	0.0825509	0.0448675	0.0513555	0.0952685	0.0573025
a39	0.0403082	0.154369	0.171665	0.148263	0.122379	0.0918104	0.0693462	0.13889	0.0629682
a31	0.0315515	0.124896	0.150937	0.127935	0.111429	0.110219	0.0895144	0.164561	0.0889575
a46	0.0608328	0.262444	0.194351	0.141224	0.067336	0.0398621	0.0474174	0.11793	0.0686025
a31	0.0332236	0.101048	0.162589	0.109095	0.0887531	0.0855293	0.0671478	0.237919	0.114694
a18	0.0380516	0.303575	0.193307	0.116193	0.0430467	0.0274396	0.0403148	0.155986	0.0820863
a31	0.0343969	0.122196	0.19082	0.123266	0.0922214	0.0720058	0.0523466	0.217243	0.0955032
a8	0.0269966	0.314484	0.184258	0.100281	0.0341124	0.0242833	0.0342873	0.188973	0.0923242
</S>	0.0409093	0.0893013	0.145945	0.0921734	0.0748788	0.0656321	0.0518206	0.310499	0.12884
