 	vuole	pianto	</S>
i	0.9960032	1.830265e-05	0.0039784713
t	0.9733227	0.009793548	0.016883748
è	0.88980764	0.022104476	0.088087864
l	0.98839825	0.0021794077	0.009422317
i	0.5021137	0.3573146	0.1405717
k	0.49007738	0.0069766617	0.50294596
l	0.107584305	0.56974465	0.32267106
a	0.38659638	0.016152123	0.5972515
m	0.10265281	0.011217424	0.8861298
m	0.033648644	0.36174995	0.6046014
è	0.32057664	0.03385617	0.6455672
n	0.0132153155	0.001323508	0.9854612
o	0.28346318	0.5273856	0.18915127
</S>	0.0096273245	0.0024522278	0.9879204
