 	stava	ancora	cucinando	</S>
ì	0.9990658	0.00058216497	1.7630487e-05	0.00033442065
s	0.78256977	0.019282266	0.09569244	0.10245545
t	0.8192576	0.019746333	0.056772105	0.10422389
i	0.85687095	0.0077169	0.12047254	0.014939626
g	0.8176184	0.17531304	0.0014126215	0.005655996
g	0.039240394	0.904297	0.040574398	0.015888246
h	0.31162703	0.63684666	0.040357403	0.011168877
e	0.6573971	0.21011494	0.111780174	0.020707767
a	0.5338321	0.43060568	0.024846548	0.010715735
n	0.0029517217	0.8392806	0.11409062	0.043677006
k	0.011967378	0.61740196	0.22824754	0.14238316
ò	0.121631265	0.048132345	0.71467406	0.11556239
r	0.35102692	0.13203509	0.34677756	0.17016044
a	0.009257218	0.7440682	0.19357401	0.053100523
m	0.10568798	0.05653063	0.5165766	0.32120475
a	0.007901586	0.15984125	0.60104275	0.23121446
r	0.08260891	0.032596845	0.50936437	0.37542987
è	0.003069969	0.022463242	0.89255905	0.08190773
o	0.022022715	0.00789201	0.8492563	0.120828904
n	0.004633324	0.008398107	0.73283976	0.2541288
t	0.001621062	0.0028421616	0.96748024	0.028056521
a	0.009835753	0.0813247	0.79140574	0.117433794
</S>	0.00059286103	0.0011800338	0.0791436	0.91908354
