 	devo	comprare	il	pane	ogni	giorno	</S>
è	0.99719054	0.0022540889	0.00032436135	0.00021763906	1.6983855e-06	2.0084601e-06	9.5988025e-06
n	0.63488555	0.1463552	0.022751117	0.022046119	0.024862682	0.006298901	0.14280042
a	0.1176137	0.7075121	0.012936723	0.006029432	0.0038152146	0.00062733196	0.15146554
v	0.0015484958	0.94790363	0.04950348	0.00073240383	4.0913754e-05	2.7413736e-05	0.0002435466
o	0.007425639	0.84347785	0.07264804	0.026237983	0.002925002	0.0013407934	0.045944564
r	0.0010809836	0.41019946	0.5706097	0.015545631	0.0007221286	0.00027405724	0.0015680232
à	0.009775966	0.28969914	0.42132267	0.11382153	0.0093226135	0.0020608401	0.15399723
s	0.0076546846	0.03988551	0.91301674	0.036735635	0.0020679191	0.00013389398	0.00050565525
o	0.0024265544	0.02658454	0.5574607	0.3402435	0.012474881	0.0032193842	0.057590395
t	0.00066882215	0.02058764	0.3217307	0.6294029	0.025897697	0.0009302166	0.00078210456
o	0.0003480897	0.010563011	0.09071687	0.8550893	0.012080693	0.0011475898	0.030054512
t	0.00048276898	0.05994084	0.17511293	0.4934906	0.25865433	0.008285787	0.0040326994
s	0.00025865302	0.007816796	0.032812573	0.84969485	0.0526484	0.0016164343	0.05515232
o	0.000764096	0.0018278223	0.025129778	0.949891	0.010871377	0.0007967748	0.010719119
m	0.0005192357	0.023631612	0.07211666	0.16706507	0.67344695	0.032300275	0.030920206
ì	0.00038270155	0.0046616704	0.022012226	0.6954532	0.16529445	0.008438357	0.10375735
k	0.0011226834	0.0030237918	0.016852904	0.02273083	0.8241674	0.111716926	0.020385599
a	0.00082861126	0.0050600017	0.017366013	0.29575706	0.45738253	0.060977213	0.16262862
i	0.0028476357	0.010334317	0.04691668	0.019247975	0.33792478	0.48534366	0.09738491
m	0.0014214647	0.042288445	0.030232452	0.013924041	0.060865983	0.5145782	0.3366894
è	0.00033689066	0.008386884	0.0078959735	0.008590458	0.08856866	0.79472774	0.09149332
r	0.0008736488	0.0027833816	0.0024427974	0.0014294544	0.017933566	0.955814	0.018723194
i	0.0017169039	0.0021392067	0.009001289	0.011657789	0.042181894	0.7958221	0.13748087
</S>	0.00013300429	0.0013249731	0.0027011025	0.0021891245	0.014122322	0.03593617	0.9435933
