 	vivendo	la	mia	figlia	la	avevo	portata	alla	chiesa	</S>
z	0.99788433	0.0020867977	2.5509135e-05	1.0628866e-06	1.2487241e-06	2.860778e-07	3.550632e-07	1.234396e-08	3.1597747e-07	1.3345978e-07
ì	0.83520794	0.08991735	0.026531717	0.009544179	0.0151028335	0.012532313	0.005799883	0.0005369018	0.00024956136	0.004577338
s	0.31253916	0.5542671	0.07962694	0.0109271165	0.028673366	0.01224595	0.00040061658	3.779297e-05	8.58703e-05	0.0011960706
o	0.4991386	0.45971337	0.025119826	0.0026130788	0.0032259093	0.0013014909	0.00072554237	0.00014812587	0.00013306273	0.007880967
n	0.026691392	0.89703804	0.07608087	8.016555e-05	0.000100211815	7.7089935e-06	1.2602168e-06	3.233711e-08	1.6642487e-07	2.0560745e-07
t	0.026521638	0.92036086	0.048514247	0.0019409825	0.001379664	0.0007247584	0.000378542	3.7787853e-05	2.5581952e-05	0.000115952935
a	0.2113924	0.6751699	0.0960727	0.007307195	0.0062756664	0.0023000697	0.0004162591	1.829124e-05	0.0005324766	0.0005150199
e	0.06019053	0.49742174	0.43902254	0.0023586578	0.0007752305	0.0001410201	8.336365e-05	6.122611e-07	1.5107721e-06	4.757972e-06
k	0.0012216358	0.052025396	0.93303895	0.010581658	0.0017660484	0.00089097145	4.090292e-05	4.29073e-06	0.00020928966	0.00022087566
i	0.007943687	0.07056743	0.86196667	0.035288293	0.011880338	0.0040492117	0.0008039785	6.502706e-05	0.0011663492	0.006269033
a	0.009138289	0.01266331	0.8512308	0.112491935	0.013266353	0.0009975466	9.387321e-05	4.5312654e-06	1.777873e-05	9.5525524e-05
t	0.0020064742	0.01097123	0.4367152	0.5064922	0.034606684	0.0076004663	0.00026953072	1.3052281e-05	0.00062472676	0.00070043816
è	0.0043890844	0.030832011	0.34256616	0.5500341	0.039833814	0.01050995	0.002303456	0.000100058984	0.0011665846	0.018264784
r	0.0021531482	0.0019690436	0.01570497	0.8458287	0.13241489	0.001741572	0.00013353916	1.0911957e-05	7.778985e-06	3.542778e-05
a	0.007348738	0.008226888	0.07030136	0.8687955	0.022800624	0.0054664356	0.0017916644	0.00034981014	0.00045420864	0.01446468
m	0.000996086	0.001516424	0.017793914	0.45787984	0.50293106	0.017293822	0.0015459186	2.182033e-05	1.4522393e-05	6.5403146e-06
u	0.0055760746	0.011810473	0.034015298	0.69506913	0.18530078	0.029371228	0.012670909	0.0002955923	0.00042527862	0.025465349
i	0.00068611384	0.00089714216	0.00395152	0.17247659	0.70421505	0.11332151	0.0042707054	8.064376e-05	6.408771e-05	3.66112e-05
n	0.0007067155	0.0026298917	0.003858733	0.029339558	0.4789588	0.45669717	0.02264698	0.00016485898	0.0041349945	0.00086236134
ì	0.0029604367	0.009952911	0.013588612	0.08982642	0.428051	0.35619992	0.020222176	0.00080752734	0.024812076	0.05357881
c	0.0057636704	0.005296745	0.0060445336	0.02876665	0.29233444	0.54364944	0.103319585	0.0030109796	0.0041176802	0.0076963026
h	0.08759589	0.06294934	0.06322113	0.059004292	0.20588541	0.3446962	0.13540232	0.0019049878	0.0013799812	0.03796049
a	0.16795903	0.007501492	0.0029458858	0.19407648	0.2766876	0.18296245	0.1294791	0.009652435	0.008038714	0.020696862
p	0.0015552014	0.0017465542	0.004270556	0.051510457	0.12688446	0.5225932	0.2835892	0.006919073	0.00045921956	0.000472122
à	0.007187709	0.010359169	0.0101787625	0.010169787	0.044065364	0.3918339	0.43508524	0.0077451672	0.0006296509	0.0827453
r	0.001948987	0.0017518491	0.0021679206	0.0020931007	0.016869498	0.38694236	0.46128982	0.032930054	0.0071504787	0.08685599
o	0.006435334	0.021909565	0.018632911	0.027107725	0.035000537	0.60799956	0.17287843	0.052868035	0.0026794246	0.054488435
n	0.0010739152	0.0013090727	0.0034190589	0.019913632	0.031379614	0.16262452	0.44536287	0.32568467	0.00040091408	0.008831827
t	0.012832586	0.013910019	0.007842555	0.0027509693	0.009349973	0.17463244	0.69952244	0.041142	0.00051701016	0.03750004
a	0.07715894	0.0062185335	0.005189968	0.029638458	0.004974355	0.062106334	0.5322754	0.25725657	0.002447045	0.022734407
s	0.00061874907	0.0019234875	0.0049231984	0.03506327	0.018059218	0.07048158	0.27162853	0.59307003	0.00024409476	0.003987861
t	0.010932564	0.014398322	0.009859446	0.0014995649	0.0022559427	0.056488115	0.3747172	0.14114024	0.009624928	0.37908363
i	0.062065434	0.018381393	0.0076463213	0.01209115	0.0022285597	0.014897572	0.50849915	0.36973292	0.00014991585	0.004307552
n	0.00081046746	0.0026337747	0.0061721033	0.014061669	0.018987013	0.13978499	0.18115088	0.5565024	0.0021687734	0.0777279
a	0.014384036	0.019907279	0.011615402	0.002006632	0.0035701946	0.02976557	0.15081215	0.5249493	0.04304676	0.1999427
g	0.0038008378	0.005083091	0.008376973	0.0129116755	0.013216871	0.06926843	0.08172961	0.7465133	0.003962532	0.05513667
l	0.0033828677	0.0050885854	0.005095299	0.0009931064	0.001931678	0.013705359	0.09718564	0.376094	0.030665426	0.46585798
i	0.06807207	0.037118766	0.032169692	0.034238633	0.025888372	0.08181933	0.335004	0.37999284	0.00024617018	0.0054500178
s	0.0023831758	0.0048060594	0.010101501	0.0246614	0.019247206	0.11835349	0.11031622	0.6142509	0.0025646035	0.09331547
ì	0.012812599	0.015997125	0.011486131	0.0021086554	0.0049526147	0.038473353	0.13583481	0.4847949	0.06093825	0.2326016
a	0.0029963406	0.0033663874	0.004416761	0.005338688	0.0051703937	0.014733788	0.044685327	0.74377733	0.0016492909	0.17386566
</S>	0.0009286228	0.0019949514	0.0022086059	0.00049845706	0.0012923377	0.010906165	0.033375822	0.12607524	0.060927704	0.7617921
