 	sto	e	cucino	</S>
e	0.99758863	0.0019705188	9.095022e-05	0.00034983153
s	0.7986704	0.10556965	0.017028263	0.078731574
t	0.2637843	0.21833527	0.0095446855	0.50833577
è	0.5026124	0.47539255	0.008884166	0.0131108835
c	0.11199451	0.8412022	0.012319225	0.034484055
e	0.08278466	0.30033517	0.34572303	0.27115715
m	0.30017868	0.33429933	0.318883	0.04663898
a	0.09310161	0.6915637	0.07984536	0.13548937
r	0.0860251	0.066177845	0.72868115	0.11911592
è	0.036586713	0.21332143	0.2547421	0.49534974
o	0.08020528	0.07615116	0.71959203	0.12405157
</S>	0.0023208987	0.007979075	0.3385541	0.65114594
