 	non	so	cosa	stai	scrivendo	</S>
e	0.98738444	0.011346413	0.00104697	6.08946e-05	1.7006977e-06	0.00015965353
n	0.6932037	0.27904302	0.0036277703	0.0011434943	0.005558466	0.017423656
e	0.32570875	0.58645636	0.0060083284	0.0011498069	0.0058481153	0.07482868
t	0.06046684	0.91249156	0.014053922	0.0013035316	0.00023669853	0.011447576
s	0.069059804	0.7996682	0.014331661	0.0042753215	0.021170544	0.09149448
è	0.03908133	0.20432073	0.7407869	0.01080585	0.0002694839	0.0047356263
r	0.07243243	0.56961924	0.3412275	0.013686118	7.243985e-05	0.0029623269
o	0.009809942	0.71918416	0.22662877	0.012814486	0.016823454	0.014739126
e	0.02333407	0.034389492	0.53188485	0.40888903	0.00050295715	0.0009996208
s	0.012700506	0.11750558	0.29580975	0.4700647	0.079702	0.024217496
ù	0.0067601125	0.042609155	0.081967644	0.6571958	0.16414312	0.047324255
t	0.03271383	0.02903915	0.032528944	0.88943523	0.007487638	0.008795186
i	0.00057239115	0.0054969126	0.019039199	0.37345886	0.5572343	0.044198368
s	0.011999347	0.067669876	0.04014593	0.53759503	0.025789354	0.31680048
t	0.00061860756	0.0069173058	0.0038754323	0.11906463	0.7606345	0.108889535
e	0.008163306	0.016237754	0.054215893	0.6522553	0.09181464	0.17731313
g	0.0028181847	0.015335048	0.011901208	0.102060646	0.09686564	0.7710193
r	0.0012974303	0.006499893	0.0042724833	0.025768582	0.651736	0.31042555
à	0.012408276	0.08326121	0.016474105	0.26731023	0.081419885	0.5391263
f	0.0110325385	0.0035793642	0.002568258	0.023252562	0.6174345	0.3421328
i	0.0015734974	0.00561528	0.005279466	0.012805316	0.8945756	0.08015082
</S>	0.016929777	0.0061485465	0.0034628445	0.026394304	0.036817435	0.9102471
