 	il	abito	della	sposa	corassi	si	chiama	la	sposa	ee	ee	vuole	bianco	</S>
o	0.98087215	0.018023927	0.00022303083	3.5825862e-05	0.00077297457	3.9753663e-06	6.0500817e-05	4.3319974e-06	1.6669655e-06	1.5064339e-07	1.2221167e-07	1.584209e-08	4.3601295e-07	7.98007e-07
à	0.50746316	0.3679946	0.014285606	0.048233174	0.0028868308	0.029656673	0.0009080391	0.017236756	0.0040239	0.0026313912	0.0007941905	0.0011461877	0.00031371223	0.002425733
b	0.26153758	0.5653777	0.08987934	0.047034048	0.0035220822	0.0051383562	0.0016187854	0.017976603	0.0031445716	0.0015495766	0.00068641093	0.00012409949	0.00019107136	0.0022197296
b	0.042087052	0.9284574	0.0035115015	0.0008782191	0.00027292964	0.0027045829	0.00020504394	0.00034598046	0.00028935028	0.00043625679	0.00018409367	7.0676964e-05	5.2922187e-05	0.020503907
e	0.20196474	0.5053047	0.08003921	0.0059403377	0.18750305	0.00035197113	0.01729201	0.0010175759	0.00032892704	0.00010035028	0.00011126104	1.8820773e-06	1.8002565e-06	4.2206215e-05
t	0.15940033	0.55141914	0.27274746	0.007940053	0.007059252	0.00028032926	0.0006725054	0.0003962554	5.3263113e-05	1.02899e-05	2.2148265e-06	4.719509e-08	5.7608344e-07	1.8273644e-05
o	0.0040675956	0.9134839	0.06315181	0.0018087059	0.010238909	0.0010927847	0.0037245373	0.000786895	0.00044031453	0.00029073705	6.19172e-05	5.1137986e-06	1.6997506e-05	0.00082968426
à	0.10796512	0.026310768	0.8325496	0.026797416	0.0042198757	0.0007835521	0.0008057369	0.00040637125	7.590331e-05	4.0503117e-05	9.243865e-06	2.3700089e-07	2.500526e-06	3.3246873e-05
t	0.0033738133	0.023816891	0.9570873	0.010749436	0.0020097198	0.00043755714	0.0008245546	0.00081687095	0.00016273181	0.00020069264	0.00021051592	7.3330402e-06	7.693174e-06	0.0002949532
t	0.002175059	0.03409018	0.93146014	0.010757537	0.002862411	0.011539804	0.0014485149	0.00097542285	0.00033792143	0.00095652585	0.0004565687	4.887998e-05	2.4606848e-05	0.0028664898
o	0.017648177	0.006456697	0.6635725	0.010881036	0.24006796	0.00054620457	0.05434228	0.0012448933	0.0021913748	0.00045466394	0.00024422072	1.1439786e-05	4.635991e-05	0.0022921024
k	0.007605035	0.0014139037	0.35333458	0.55097914	0.06816059	0.007823736	0.006927633	0.0032729723	0.00033745318	8.792597e-05	1.0897485e-05	9.107122e-07	2.6550506e-06	4.254304e-05
o	0.0050619133	0.10911239	0.5752718	0.09103411	0.09948126	0.026121922	0.04745268	0.012203255	0.005291526	0.006601451	0.0034090613	0.00047574003	0.00023009662	0.01825271
r	0.0083434405	0.00028590948	0.05570463	0.78607875	0.08762132	0.02400721	0.029399946	0.007553376	0.0005544821	0.00032755965	5.145985e-05	2.3730481e-06	4.3956943e-06	6.516274e-05
à	0.0024526499	0.043269884	0.12314629	0.3136169	0.33167285	0.045243017	0.103132874	0.018618606	0.0036943024	0.003837708	0.0023336175	0.0002132255	5.3039337e-05	0.008715113
s	0.005003901	0.00016683932	0.015126319	0.7738547	0.06463785	0.024147341	0.071423836	0.04174782	0.0019849313	0.0014292282	0.00020645176	1.5718631e-05	4.9948917e-06	0.00025006002
i	0.0029822262	0.009945628	0.040040806	0.33109742	0.32374942	0.05689454	0.17142612	0.024204379	0.007263617	0.0051758103	0.0018665268	0.0004724655	0.00072544575	0.024155574
k	0.001325256	0.000116567375	0.0052907714	0.23935895	0.16532007	0.13046427	0.12984265	0.3056838	0.018998258	0.003189458	0.00032081336	1.5955906e-05	5.4243246e-06	6.78006e-05
o	0.0016789292	0.012920345	0.012894373	0.15580796	0.24880928	0.05173921	0.37748793	0.08082147	0.016367221	0.010601282	0.0062218867	0.0015666252	0.0003426964	0.022740873
r	0.0026468963	6.762174e-05	0.003062382	0.07531664	0.036954552	0.09320528	0.08476383	0.6106192	0.06691177	0.022907885	0.003164582	0.00018671353	2.937541e-05	0.00016325564
à	0.0030661856	0.008528996	0.0056294734	0.096520014	0.07713159	0.05096123	0.2570516	0.34054908	0.08250725	0.032246735	0.017548146	0.0041645993	0.000667325	0.02342778
s	0.0039602043	0.0003436214	0.0016092116	0.015323285	0.008848448	0.036880422	0.08330367	0.29475412	0.1474321	0.2961997	0.101280294	0.008554531	9.192519e-05	0.0014184613
i	0.005572956	0.0038555514	0.0036108172	0.048320174	0.046129555	0.0504136	0.18414712	0.324473	0.19160911	0.049061965	0.018213656	0.0082132695	0.00807914	0.0583001
s	0.00038113893	3.776908e-05	0.0005680129	0.008252792	0.002439116	0.0033459894	0.010690065	0.12672119	0.49219647	0.30188566	0.047786072	0.0041354313	0.0006759184	0.0008843164
i	0.0044564586	0.007211072	0.0026719354	0.028818812	0.012219254	0.012668765	0.04667646	0.183991	0.38163072	0.1302598	0.074849285	0.02738859	0.012462407	0.0746954
e	0.00042288468	2.8733568e-05	0.00032545073	0.0022009814	0.00048839307	0.001305331	0.0016959646	0.039622217	0.23631692	0.5380444	0.15515862	0.022201475	0.00157599	0.00061264116
e	0.0003150808	0.00013671967	0.00027744	0.00071117084	0.00040846996	0.00035776923	0.0007039501	0.009534382	0.062945955	0.39312568	0.4587421	0.067815185	0.004311588	0.0006145357
e	0.00037618142	0.00011409089	0.00030318662	0.00062686537	0.00029921575	0.00030962052	0.00038589255	0.0043544127	0.029194653	0.34418133	0.51905787	0.09178532	0.0081413	0.0008700184
e	0.0003655158	0.00011636019	0.0002765135	0.0006106696	0.0002680094	0.00028965255	0.0002921796	0.0030439657	0.019709658	0.2956346	0.4916178	0.15891767	0.026983773	0.0018736507
e	0.00040901956	0.00013900055	0.0003063672	0.0006570315	0.00028610742	0.0003094028	0.0002667033	0.0025067807	0.012462306	0.22623023	0.44867253	0.22939567	0.07476706	0.0035918693
t	0.0004918753	0.00016002751	0.00037290173	0.00072961824	0.0003129655	0.00034307432	0.00026863048	0.0022330405	0.008099621	0.16247156	0.39675373	0.26888874	0.15273829	0.006135906
è	0.0015453525	0.0004111093	0.0003865972	0.0021112494	0.00046791896	0.00084177474	0.00041996597	0.0038506598	0.01986295	0.16269368	0.20875265	0.3532614	0.22514057	0.02025411
l	0.0004953925	0.00011049274	0.0002799595	0.00045156098	0.00015784334	0.0003323267	0.00025899848	0.00064445636	0.0024662965	0.06301415	0.25953692	0.49720317	0.15925719	0.015791321
