 	non	sapeva	dove	a	stare	</S>
e	0.9614823	0.036806326	0.0015264609	3.9050537e-05	1.0659118e-05	0.00013518451
n	0.8125773	0.1623662	0.0033636254	0.00210826	0.0022593106	0.017325222
ì	0.057691418	0.89356905	0.0022356743	0.00037751946	0.0005009994	0.04562544
s	0.06454572	0.91396356	0.0058065974	0.0005412697	0.00091707386	0.014225813
s	0.01995579	0.7404074	0.037230678	0.012454242	0.03742567	0.1525263
e	0.026172973	0.44622874	0.41036272	0.06461173	0.019171653	0.033452127
r	0.007248224	0.30898872	0.6650552	0.010047724	0.00044295695	0.008217224
e	0.0045872293	0.22607717	0.50803757	0.108849324	0.1161214	0.03632732
p	0.015901359	0.05898903	0.2220609	0.68516564	0.008414972	0.009468063
u	0.0017664172	0.107815005	0.32427725	0.15423593	0.26675895	0.14514647
n	0.015775498	0.09362625	0.06406069	0.5132745	0.13333537	0.17992774
a	0.002108541	0.042507675	0.050614975	0.18332893	0.47507077	0.24636912
s	0.03064118	0.03039677	0.018578472	0.22430333	0.4870364	0.20904389
t	0.0004864665	0.01626429	0.017070208	0.039730452	0.75904715	0.16740143
a	0.044266187	0.017871572	0.04095228	0.31284934	0.34128562	0.24277498
s	0.0012298764	0.012098417	0.02408692	0.040673707	0.4736627	0.4482483
ì	0.0002643421	0.008915312	0.008625698	0.0070503564	0.8345092	0.14063513
</S>	0.0097754	0.008284565	0.0063160155	0.008900412	0.2620381	0.7046855
