 	devo	pulire	l'	albero	</S>
è	0.9974868	0.0021656235	0.00010894185	0.00014822168	9.0348185e-05
n	0.47352734	0.41304785	0.008572424	0.0063092886	0.098543115
a	0.108059	0.6783397	0.002015871	0.0010190959	0.21056624
k	0.00059768034	0.9989833	0.00017581259	3.379629e-06	0.00023983498
a	0.019140651	0.91563684	0.008551171	0.0016039059	0.055067405
t	0.01420056	0.8382755	0.13199784	0.0012212577	0.014304855
à	0.01785994	0.693594	0.06870858	0.005912372	0.21392506
r	0.034146395	0.45638555	0.48989412	0.0020812112	0.017492678
o	0.011493045	0.24098153	0.4661367	0.063396335	0.21799238
t	0.010653825	0.072848186	0.7978878	0.05237524	0.06623487
o	0.0023704914	0.20810352	0.39747092	0.1562764	0.23577867
n	0.003297982	0.16105188	0.43342167	0.23007001	0.17215843
à	0.0046942425	0.2427023	0.1052932	0.19606987	0.4512403
r	0.05066314	0.04687646	0.05539304	0.4466257	0.40044165
b	0.0009494981	0.017393453	0.07050892	0.8250072	0.086140886
u	0.024497554	0.0076097664	0.1001479	0.8420566	0.025688145
r	0.0013229422	0.012425753	0.24163291	0.14907372	0.59554464
o	0.0023704488	0.029980645	0.062353414	0.89546615	0.009829295
</S>	0.010316882	0.038687702	0.15035813	0.11687762	0.6837596
