 	la	pasta	vuole	sale	</S>
i	0.99852836	0.0014532665	1.3535996e-06	1.0963602e-06	1.592496e-05
p	0.91126025	0.017323935	0.032175288	0.008854316	0.030386163
à	0.49835953	0.2966517	0.009566769	0.003259374	0.19216265
s	0.50116545	0.34912214	0.07824306	0.0073582893	0.06411105
t	0.05366881	0.82260627	0.076745234	0.009672835	0.037306845
a	0.057133283	0.93521255	0.005052997	0.0003938398	0.002207331
t	0.09309413	0.853643	0.046706125	0.0005757973	0.005980967
è	0.0039424784	0.068771064	0.8954929	0.010067207	0.021726357
l	0.07406889	0.029483424	0.64632446	0.21632738	0.033795804
i	0.00082302844	0.00676814	0.92244774	0.019650828	0.050310243
à	0.027516682	0.0114566	0.02911409	0.89380974	0.03810285
l	0.0076358067	0.0032293906	0.034434237	0.927778	0.026922576
a	0.000719068	0.0017594836	0.06019721	0.89564896	0.041675325
</S>	0.00449549	0.0040775123	0.010286251	0.39276287	0.5883779
