 	puoi	non	parlare	di	questo	con	Anna	</S>
i	0.9975406	0.0015984403	0.0008387821	1.5774247e-05	2.9570413e-06	1.4448073e-06	6.6864474e-09	2.000088e-06
s	0.74998015	0.026339421	0.15503164	0.05047455	0.0048074815	0.0015148006	0.005063003	0.006789001
ò	0.50164914	0.09674028	0.37726215	0.0066905846	0.0005003798	0.0003314345	2.019452e-05	0.016805831
z	0.35516822	0.23562177	0.3939051	0.012384571	0.00080660137	0.00018580648	1.32880405e-05	0.0019146152
i	0.16869943	0.3013035	0.1807334	0.012563911	0.0011788995	0.0025427854	0.004574969	0.32840315
m	0.030089488	0.062448326	0.9039985	0.0034286953	2.2203454e-05	3.8878316e-06	1.6717982e-07	8.632049e-06
i	0.073214866	0.25224572	0.49504542	0.051964194	0.002349738	0.009771931	0.000559253	0.11484882
m	0.023107601	0.012941723	0.9398537	0.023854705	0.00016308387	3.1669777e-05	6.634482e-07	4.6866673e-05
i	0.027233034	0.054674473	0.7722368	0.09354824	0.003427097	0.0055593494	0.00033387204	0.042987127
l	0.016428383	0.0056375735	0.7550727	0.22129534	0.0012656144	0.00014369814	7.379377e-06	0.00014932783
ì	0.020899868	0.031805478	0.6232757	0.2787743	0.010028784	0.006304708	0.0005732361	0.028337967
s	0.038190488	0.03226705	0.5036899	0.3777348	0.04426538	0.0019381952	3.5371744e-05	0.0018787907
i	0.015968513	0.013700424	0.31106758	0.46694368	0.025201436	0.01650776	0.011088695	0.13952194
a	0.003136691	0.0012960011	0.032035343	0.8283246	0.13277014	0.0021736082	7.799066e-06	0.00025581193
t	0.0029041425	0.0032639385	0.035665177	0.59251624	0.35112056	0.012880647	0.0010815624	0.0005677395
s	0.004745135	0.0067013633	0.043069456	0.36341572	0.55127746	0.014271734	0.0055663297	0.010952801
è	0.011036906	0.0075709126	0.004102936	0.078177415	0.6064108	0.07677947	0.00022066402	0.21570095
t	0.0040703663	0.0034902887	0.0061680274	0.072434805	0.8389425	0.07017021	0.000307221	0.004416563
ù	0.0036274581	0.0036519326	0.0233441	0.08951931	0.6005461	0.038493454	0.059173834	0.1816439
o	0.0020755634	0.001501482	0.002390764	0.011449005	0.64849335	0.3318168	0.00033700725	0.0019359833
m	0.0023070262	0.0014300102	0.0064095096	0.019582335	0.19671063	0.7199488	0.032497384	0.021114308
e	0.003113424	0.004598331	0.013645964	0.03772046	0.35185418	0.41084248	0.109733924	0.06849118
t	0.006985561	0.011582394	0.008982838	0.047436938	0.12881964	0.7540094	0.026583584	0.015599646
i	0.006842279	0.008596414	0.018561197	0.028812371	0.12847951	0.24712345	0.47871193	0.08287282
n	0.019232169	0.02300117	0.020911708	0.05829313	0.07853143	0.54404527	0.1786192	0.07736591
A	0.004472555	0.0061993236	0.010369827	0.0124772675	0.01567531	0.0678604	0.79569435	0.0872509
n	0.016522607	0.015748609	0.014600031	0.01952521	0.036413003	0.22308476	0.49046436	0.18364142
n	0.001717091	0.00163926	0.002369189	0.0025563142	0.0037988592	0.026304785	0.90106267	0.060551826
a	0.029698975	0.007259895	0.00377982	0.012067356	0.06705334	0.40925413	0.039676163	0.43121025
</S>	0.0022800271	0.00404783	0.0028882143	0.019118747	0.027028559	0.08449185	0.09303158	0.7671132
