 	se	nella	nella	pasta	voleva	sale	l'	avevo	messo	</S>
a	0.76154226	0.22923096	0.006700836	0.0024198587	5.923525e-05	1.9983312e-05	7.6519855e-06	8.1128655e-06	3.947245e-06	7.2291564e-06
m	0.1103785	0.8497692	0.017030127	0.0021067702	0.008645001	0.0041426565	0.0013165731	0.0026853122	0.0005523152	0.0033734983
e	0.0033604694	0.89485615	0.071353264	0.015748875	0.0068282825	0.0019257978	0.0002248499	0.0006038631	6.2390405e-05	0.005036084
s	0.007249322	0.95862687	0.028427968	0.001605146	0.0029182117	0.0008103129	2.1841162e-05	9.3519484e-05	1.3068162e-05	0.00023373551
t	0.009984589	0.64534	0.16496922	0.11548994	0.03044981	0.019652354	0.00046416072	0.0016418531	0.00014206507	0.011865935
i	0.0120904315	0.24446659	0.695541	0.047336012	0.00030238388	7.556545e-05	9.839993e-05	4.1891497e-05	4.8766597e-06	4.2814678e-05
p	0.0026136383	0.24866009	0.71899027	0.02798715	0.0013447546	0.0002243257	5.0395967e-05	5.6467346e-05	3.4818975e-06	6.943496e-05
à	0.0033566558	0.045987416	0.8092913	0.07173918	0.060036637	0.007334761	0.00025960078	0.0009800324	1.3066418e-05	0.0010013519
s	0.013664387	0.13021675	0.72588253	0.10456222	0.021300465	0.0027978779	0.00013719333	0.00023224273	3.9665e-05	0.0011666506
t	0.01996477	0.027355062	0.65349	0.15433848	0.054325923	0.01452281	0.0012817165	0.0034714898	0.0013120865	0.06993759
a	0.010280789	0.005908878	0.50945485	0.47133276	0.0010155826	0.0003399877	0.00069275737	0.00022898437	8.200559e-05	0.00066336215
ì	0.00069640524	0.0142325405	0.044278137	0.9114257	0.027380645	0.001177779	0.000629057	5.8311096e-05	6.4797705e-06	0.000114869836
c	0.00029088944	0.0035012139	0.006428465	0.39183515	0.41844347	0.17275105	0.0018616277	0.004467329	3.3528795e-05	0.00038732236
h	0.0077930777	0.010177529	0.0117687285	0.27780187	0.4899075	0.16285639	0.0010770619	0.0037411286	0.00048221764	0.034394428
e	0.017898863	0.009775273	0.09067633	0.8480671	0.009183352	0.009854953	0.0112859	0.0024366027	0.00024027567	0.00058134267
t	0.0003869402	0.004560707	0.007229502	0.26755986	0.4174539	0.24820234	0.04916274	0.0047763973	7.651384e-05	0.0005911728
e	0.008290371	0.011164326	0.014580036	0.10669129	0.5409807	0.20256966	0.015134056	0.010322444	0.004182981	0.0860841
l	0.0026168667	0.008789979	0.0019318656	0.011150651	0.17771137	0.5045738	0.26730785	0.023584707	0.00065413903	0.0016786957
ì	0.002761625	0.005087795	0.006110402	0.036484055	0.4208045	0.37927434	0.038640663	0.013739269	0.0014560091	0.0956413
s	0.0067889015	0.009162531	0.0038689524	0.0058924025	0.07508573	0.2621252	0.58050394	0.044810005	0.004061349	0.0077009667
o	0.004165504	0.008068763	0.0039195623	0.033010934	0.4117823	0.31849518	0.13589439	0.010307072	0.007415743	0.06694064
n	0.0004581143	0.0013548279	0.0006860472	0.0033563587	0.0144300815	0.019992959	0.83067155	0.122789465	0.0019284325	0.0043321303
t	0.005756659	0.011409502	0.0070692874	0.013112889	0.16970336	0.24904773	0.41574174	0.067981884	0.0052814386	0.054895494
a	0.08204512	0.0030704518	0.015861953	0.015287615	0.0074963383	0.014270358	0.8204517	0.025188318	0.0056538563	0.010674298
à	0.0013827878	0.0010105188	0.0009427613	0.002640625	0.01834963	0.010358252	0.6173668	0.330228	0.008451184	0.009269461
l	0.00017284809	0.0011658344	0.00064905937	0.0017604564	0.0030738383	0.018246217	0.11745144	0.82932323	0.016116671	0.012040441
a	0.0036244774	0.011653368	0.0034931696	0.006617726	0.040216375	0.060274594	0.0816671	0.6460156	0.091904275	0.054533333
t	0.0001397114	0.0008324258	0.0004187013	0.0010539058	0.0025845882	0.013762253	0.046484653	0.83221036	0.044723682	0.057789765
ù	0.0040991204	0.009004942	0.0028348956	0.0041992627	0.027725589	0.04463804	0.067581005	0.6015301	0.076711476	0.1616756
c	0.00091252464	0.0019924918	0.0010836193	0.0011267159	0.001833624	0.004000613	0.021376777	0.2684328	0.4314698	0.26777107
h	0.03942002	0.05002	0.017062303	0.050152313	0.03661067	0.01744183	0.082708515	0.19989568	0.14958222	0.35710648
a	0.1312331	0.0041633765	0.013056877	0.0135596525	0.0033409127	0.007563338	0.33069095	0.2095055	0.1582876	0.12859875
v	0.00064097095	0.0008893418	0.0005551029	0.0018850534	0.0030715126	0.006909711	0.03730228	0.18926434	0.3140947	0.44538692
à	0.002331123	0.005820151	0.0034276792	0.0056744292	0.007710216	0.0052803443	0.010524766	0.048554506	0.2696885	0.6409883
l	0.00069340057	0.0030037165	0.0013993526	0.0012384944	0.0022391574	0.0036196231	0.0032335045	0.03664682	0.63293856	0.3149874
o	0.00897072	0.019183509	0.014723993	0.037839342	0.11425457	0.033531666	0.026121685	0.23218988	0.33324817	0.1799365
n	0.00070365	0.0010022499	0.00040034347	0.00041333365	0.0013480408	0.0031762405	0.0064152405	0.024021652	0.37612432	0.5863949
t	0.008608627	0.018398177	0.009608542	0.013443652	0.012432107	0.0030251173	0.0046858042	0.014231021	0.7656712	0.14989577
a	0.17538519	0.004109446	0.015423392	0.020143962	0.0045631975	0.00483965	0.034849834	0.019316433	0.60274327	0.11862568
</S>	0.003895873	0.0012875872	0.0011335745	0.0021262735	0.003178432	0.0028683154	0.010057291	0.02349957	0.15262099	0.79933214
