 	ho	rotto	una	bottiglia	</S>
è	0.9995346	6.943443e-05	0.00026699586	4.1833864e-05	8.715883e-05
g	0.17222966	0.5618205	0.07361982	0.022916835	0.16941313
l	0.15171	0.6583556	0.016202115	0.0006592354	0.17307313
a	0.043015447	0.72045034	0.20802513	0.011427104	0.017082037
s	0.3525189	0.36458224	0.27551493	0.0054663974	0.0019175432
a	0.00903954	0.94281936	0.027715573	0.0017784258	0.018647058
m	0.06840331	0.037919626	0.8765884	0.016175907	0.0009127872
i	0.0134248305	0.77392465	0.12963185	0.012774233	0.07024448
a	0.015620164	0.023818064	0.9187544	0.040318735	0.0014886233
b	0.005343154	0.03018967	0.9070654	0.055172373	0.002229449
u	0.015860863	0.123948805	0.61841387	0.15597601	0.08580048
t	0.033907507	0.042444978	0.52129483	0.38649046	0.015862193
t	0.0067948173	0.08633543	0.1869862	0.51554936	0.20433423
ì	0.053984243	0.03682696	0.1517793	0.66239905	0.09501045
g	0.012752059	0.045168668	0.3100097	0.24161753	0.390452
l	0.005983152	0.01089253	0.03702286	0.88881683	0.057284538
i	0.3473916	0.08787028	0.2494534	0.23323181	0.08205294
a	0.0061442843	0.02195427	0.22661589	0.021114707	0.7241708
</S>	0.006469789	0.017154412	0.10093435	0.19750004	0.67794144
