 	prima	di	andare	alla	scuola	</S>
p	0.99992085	6.583086e-05	1.07120795e-05	1.5555179e-06	5.2274405e-08	1.1024237e-06
r	0.93990165	0.014545532	0.0073167505	0.0008813086	0.020742752	0.016611915
ì	0.93132997	0.06162919	0.006774936	0.00012042262	1.2464133e-05	0.00013300567
m	0.18591715	0.79336375	0.017819308	0.00028538003	7.642659e-05	0.0025379504
a	0.3785314	0.4707145	0.033262897	0.0019865134	0.014142486	0.10136225
n	0.08239773	0.8209814	0.09622693	0.00035299562	3.8484873e-06	3.7104357e-05
a	0.09431873	0.79417294	0.07709024	0.003937568	0.006287171	0.024193421
p	0.056705516	0.41224176	0.51823354	0.011576433	6.375621e-05	0.0011790552
à	0.032946244	0.41432092	0.52697206	0.010999531	0.0034361153	0.011325121
i	0.021980802	0.112027116	0.8323755	0.024874516	0.005405735	0.003336307
s	0.005518436	0.025766406	0.7688926	0.1629761	0.023482157	0.013364401
t	0.0060913945	0.043887433	0.45183793	0.31812787	0.08960519	0.0904501
i	0.0057366313	0.005535526	0.121451154	0.85174733	0.0061290106	0.009400313
s	0.00409134	0.054108847	0.44550362	0.45533615	0.0078850305	0.033074908
k	0.007586818	0.020104209	0.089675106	0.38105434	0.1901749	0.3114046
ò	0.052707616	0.04316908	0.094657354	0.77816474	0.009817453	0.021483768
l	0.006611077	0.017896254	0.1540981	0.41894835	0.18411495	0.21833123
a	0.01912541	0.049543284	0.17843255	0.32067695	0.13829795	0.2939239
</S>	0.006560929	0.022743007	0.12750433	0.055311304	0.14791721	0.6399632
