 	non	ha	da	mangiare	</S>
e	0.9881247	0.010916306	0.0006684376	9.741564e-06	0.0002807219
n	0.8402703	0.06782173	0.029764216	0.021080166	0.041063536
è	0.25320184	0.34763706	0.06268134	0.00997768	0.32650208
c	0.0873323	0.6291759	0.24581264	0.006962473	0.030716574
h	0.06750479	0.079252295	0.12856238	0.049726743	0.6749538
i	0.17200656	0.10683289	0.5771756	0.048963744	0.095021226
n	0.018728264	0.08356768	0.7925812	0.057159334	0.047963556
a	0.015343006	0.031073797	0.5504688	0.18634342	0.21677093
f	0.023547404	0.04292108	0.16079143	0.7430104	0.029729653
à	0.0023767056	0.021123875	0.11268205	0.4961764	0.36764094
i	0.06349583	0.041436378	0.053635955	0.7997967	0.041635107
</S>	0.0013484249	0.004234581	0.012008664	0.26537645	0.71703184
