 	il	vino	buono	deve	essere	invecchiato	</S>
o	0.75265634	0.24728289	5.1840576e-05	4.3885534e-06	9.255578e-07	4.277816e-07	3.1235106e-06
k	0.6548326	0.2787028	0.009807297	0.015549395	0.03679902	0.00057227665	0.0037365449
r	0.023456594	0.9693931	0.00219544	0.0006119975	0.0008418887	3.7918571e-06	0.0034972243
a	0.26887968	0.70824486	0.020900333	0.0015036644	0.00018001586	1.1146139e-05	0.0002803215
s	0.5723778	0.30009133	0.12219742	0.003169395	0.0010008888	2.4984354e-05	0.0011382097
ì	0.029263731	0.86425674	0.06416258	0.020954253	0.005117195	0.000100246725	0.016145278
k	0.3369723	0.019211128	0.63129485	0.011101108	0.0010752105	4.0757586e-05	0.000304654
a	0.056092672	0.39820904	0.3263236	0.0849581	0.02292949	0.0015712896	0.10991585
l	0.17415471	0.0063037463	0.7866709	0.030416442	0.0020099075	6.002899e-05	0.00038412306
ò	0.040103074	0.17685205	0.5601041	0.10931883	0.032147188	0.00081160484	0.08066326
e	0.03525819	0.0002570796	0.45389545	0.49941596	0.010176936	5.6642963e-05	0.0009396634
n	0.0040895185	0.002576305	0.15208076	0.73209095	0.104666114	0.0005883632	0.0039078617
a	0.005978309	0.014764918	0.07632586	0.8032218	0.06935007	0.0007342752	0.029624738
è	0.004058631	2.0123838e-05	0.019232864	0.90823025	0.06688359	0.0006383911	0.0009362471
n	0.033822905	0.004754521	0.06873287	0.7951826	0.051947847	0.009351303	0.036207866
e	0.0065808855	0.0018760943	0.01097138	0.5255198	0.23993096	0.16237637	0.052744556
a	0.0064014	0.00014598532	0.0320569	0.5129892	0.4043152	0.027224042	0.016867204
n	0.008648779	0.002230694	0.035889804	0.30590805	0.35792288	0.19561748	0.09378232
v	0.018210609	0.0115471035	0.021808935	0.15268582	0.10042952	0.41031745	0.2850006
e	0.086561695	0.0030621237	0.016923003	0.014298516	0.0060503585	0.43311343	0.43999082
k	0.0037847979	0.00043112654	0.015083435	0.08882409	0.41653353	0.23327206	0.24207097
k	0.007828821	0.010552226	0.0061300215	0.021917475	0.023289993	0.7062169	0.22406453
i	0.22931142	0.039391477	0.08298657	0.038226847	0.019048473	0.40458778	0.18644746
à	0.002804545	0.00019425228	0.011138015	0.06192335	0.13349754	0.39503872	0.3954036
t	0.0015171234	9.542095e-05	0.004809585	0.010870667	0.018536722	0.7746359	0.18953457
o	0.00092314056	0.00016024271	0.00070566055	0.001364912	0.0017701064	0.9835487	0.01152722
</S>	0.007348989	0.00027900081	0.012141235	0.022283515	0.05092378	0.3291364	0.5778871
