 	che	sapeva	che	non	può	fare	il	bagno	</S>
k	0.9371223	0.062352404	0.00023523733	0.000168714	0.000106885214	7.208882e-06	2.270741e-06	1.9836897e-07	4.815909e-06
a	0.122523785	0.6564075	0.0040314463	0.013610819	0.07368116	0.0070644617	0.003209002	0.07521112	0.044260733
ì	0.08970386	0.90472835	0.0006472869	0.0015310238	0.0025939692	0.0002011163	5.7433048e-05	0.00011168483	0.00042524017
s	0.024875028	0.95887196	0.00094751135	0.002851131	0.011527012	0.00030057778	1.9741787e-05	0.00014816341	0.000458858
s	0.043474928	0.8420857	0.006329333	0.011152653	0.0121611245	0.004478258	0.00026039657	0.013980645	0.066077
e	0.09607814	0.82466507	0.050916273	0.007466872	0.008575283	0.0100931	0.0010425061	0.0005410506	0.000621656
r	0.03371112	0.802471	0.14425722	0.007903474	0.0108817555	0.0004931338	7.180903e-05	3.1693692e-06	0.00020727294
e	0.032115463	0.59301674	0.21933922	0.018763194	0.06682818	0.04489921	0.011790008	0.0017498165	0.0114981765
k	0.06316603	0.065357864	0.6822836	0.14475515	0.04137318	0.0024287777	0.00038623504	1.593297e-05	0.00023318444
a	0.015969194	0.18213934	0.31079936	0.07876046	0.24849573	0.04725218	0.016613448	0.019244127	0.08072608
e	0.072775416	0.027257465	0.26234117	0.3861855	0.21960434	0.024054386	0.005898886	0.0001571877	0.0017256144
s	0.0029331052	0.01479612	0.031685982	0.040605232	0.8986081	0.00617298	0.0022712743	0.0014030645	0.0015241171
ò	0.008985971	0.03818255	0.05347432	0.05275084	0.7606992	0.035247777	0.007794798	0.012030977	0.030833581
z	0.04721444	0.030028444	0.07508174	0.23425406	0.5499055	0.012345034	0.025896136	0.015042363	0.0102323
i	0.019335428	0.009936689	0.033950873	0.021003176	0.23235285	0.12448867	0.03687721	0.36832997	0.15372519
k	0.009922661	0.0075382306	0.007876451	0.014278157	0.21078849	0.33111027	0.37003496	0.011072099	0.037378795
à	0.0056604748	0.0132869845	0.007512361	0.008643051	0.12700126	0.044149563	0.19654633	0.3664605	0.23073943
i	0.017926212	0.007962111	0.0112660425	0.016113486	0.0232229	0.22338519	0.6218046	0.060368408	0.01795112
o	0.0009965907	0.0034566312	0.0021650372	0.0013794644	0.023659866	0.063883655	0.444035	0.17857523	0.28184852
b	0.010995108	0.025331603	0.01982947	0.012796973	0.094730936	0.05281136	0.31014755	0.11766833	0.3556887
à	0.0068985056	0.009854193	0.007961605	0.00719387	0.029531414	0.021647975	0.250018	0.47120684	0.19568764
g	0.02811339	0.015992593	0.017804924	0.016727233	0.01575153	0.047923435	0.07374646	0.62821233	0.15572807
n	0.005232424	0.0036290723	0.0034733415	0.0009496896	0.0033050484	0.007439428	0.01763397	0.24732423	0.7110127
o	0.21617061	0.07251132	0.18126638	0.007700397	0.010316015	0.065924756	0.3636866	0.007797962	0.07462606
</S>	0.0047546932	0.0010528325	0.0032899573	0.0023531422	0.0016065381	0.0075279186	0.01111294	0.02761576	0.9406862
