 	hai	già	mangiato	</S>
è	0.99409276	0.0042272313	2.5134934e-05	0.001654885
c	0.6896056	0.02645078	0.089338474	0.19460514
h	0.53485084	0.12548856	0.011738913	0.32792172
i	0.8770077	0.053873703	0.005642039	0.06347651
g	0.07493687	0.901444	0.0058646663	0.017754488
i	0.017711008	0.8453387	0.05788283	0.07906744
à	0.043121863	0.8563709	0.050537042	0.049970098
f	0.022953408	0.28310475	0.59869295	0.095248856
a	0.0025273361	0.020112857	0.9476942	0.02966566
m	0.010118242	0.079732835	0.63793904	0.27220988
è	0.0008831133	0.02533469	0.6173415	0.35644072
n	0.010048481	0.005559031	0.8338436	0.15054893
a	0.0019003521	0.01290999	0.753886	0.23130363
</S>	0.0054258103	0.016542653	0.15877652	0.81925505
