 	Marika	è	che	si	sposa	domani	</S>
M	0.9996915	0.00015990052	0.00013019274	1.0033336e-05	6.8947393e-06	2.2884917e-07	1.2783381e-06
a	0.99290097	0.0021466375	0.0029991732	0.00034122195	0.0010296615	6.366357e-05	0.0005186816
r	0.94963634	0.023890765	0.013168122	0.006827031	0.0058813747	5.757545e-05	0.0005386853
ì	0.9162167	0.04096557	0.03160111	0.005002447	0.0057932967	2.9752064e-05	0.00039109337
k	0.08477094	0.71162736	0.1941111	0.007624991	0.0011114852	4.8422503e-06	0.00074925827
a	0.21474652	0.4907278	0.095009565	0.09150759	0.033117954	0.004284892	0.070605725
è	0.030166976	0.4106208	0.52415323	0.031302527	0.0036225717	1.4352678e-05	0.00011955564
n	0.0073901247	0.3118218	0.49118388	0.1601937	0.021384861	0.0005495416	0.007475986
a	0.012006536	0.19327387	0.3101181	0.38228068	0.040754266	0.01801721	0.04354935
r	0.014349181	0.046573136	0.31205449	0.26364714	0.349638	0.005971765	0.0077663655
m	0.021610495	0.06251701	0.22625898	0.2523732	0.1883502	0.08690089	0.16198924
a	0.05606434	0.04332432	0.47689924	0.08959996	0.3026262	0.0044598365	0.027026078
s	0.0078048664	0.016641054	0.06679056	0.122012064	0.7311284	0.02718984	0.02843325
t	0.012528221	0.006414911	0.03217141	0.031668138	0.25376207	0.4446313	0.21882398
ì	0.25974	0.054462917	0.09667681	0.078046896	0.400785	0.04728334	0.06300499
à	0.0033008906	0.0063266405	0.02093939	0.06766157	0.39584574	0.15542471	0.35050097
v	0.0010608411	0.0015892924	0.0025594523	0.004814077	0.12557098	0.7044582	0.1599471
v	0.00021011554	0.00079722086	0.00129929	0.0022386564	0.07257699	0.8969617	0.025916034
r	0.05714717	0.04566017	0.18037632	0.09609127	0.2232272	0.13645123	0.26104662
i	0.11196591	0.06618121	0.24488954	0.13124818	0.21002671	0.15116516	0.08452324
</S>	0.0017145856	0.0030504959	0.0072816666	0.014289406	0.054720555	0.001521198	0.9174221
