 	oggi	io	non	ho	cosa	da	fare	</S>
s	0.9996518	0.00027865727	4.8110134e-05	1.46462835e-05	4.3604064e-06	3.0193732e-07	1.5789402e-07	1.9415454e-06
ì	0.9582417	0.02866199	0.0017417757	0.0024537875	0.0008194419	0.0004880481	0.0025804169	0.0050127627
m	0.94471735	0.04983443	0.00080640736	0.0018675537	0.00029279556	0.00010551673	0.00012805547	0.0022478218
m	0.8608987	0.053067114	0.0091804005	0.003470661	0.0009133048	0.00069778925	0.019063512	0.052708555
e	0.9240953	0.032676306	0.008500937	0.015298573	0.017000603	0.0016994434	0.0004427023	0.0002861691
r	0.36839062	0.62130564	0.0065266327	0.003476299	9.417892e-05	2.6582173e-05	5.3038552e-06	0.00017474237
i	0.26520893	0.5577511	0.0514023	0.0342056	0.011827333	0.020663692	0.030565852	0.028375218
e	0.14333649	0.74166834	0.10231446	0.011358249	0.00086862216	0.00020735638	8.0847094e-05	0.00016570232
v	0.017813442	0.8753463	0.08532145	0.014519808	0.000729283	0.00074234465	0.001154202	0.0043731304
ò	0.072181195	0.8270009	0.06016471	0.028584082	0.0019219922	0.0011891993	0.0006074181	0.008350418
e	0.07979284	0.36557147	0.46933722	0.070188046	0.0065262793	0.0028434438	0.0007811641	0.00495952
n	0.014581753	0.09575752	0.26813236	0.21412942	0.15113	0.13764073	0.085443355	0.03318488
è	0.028421069	0.12655756	0.28243306	0.1801544	0.103996985	0.03889702	0.09727298	0.14226691
c	0.058786508	0.04972113	0.2920952	0.32262722	0.11820299	0.12729579	0.014848786	0.01642232
h	0.115878254	0.066081256	0.06264731	0.06106247	0.058104213	0.040217396	0.20062965	0.39537945
o	0.006630024	0.0008408227	0.001036772	0.008304818	0.8815227	0.052585214	0.040248465	0.008831101
t	0.006186725	0.0061927787	0.0038462363	0.033996567	0.4568922	0.40634972	0.015229665	0.071306154
i	0.0074486677	0.014140836	0.0015188167	0.004629506	0.18969555	0.099918164	0.35438	0.32826847
k	0.016105192	0.011038782	0.01105703	0.030413738	0.05445023	0.6318829	0.13987331	0.105178915
à	0.008341953	0.013715832	0.0069525624	0.009103124	0.021342063	0.1662777	0.45292044	0.32134637
m	0.038551304	0.012243444	0.03074465	0.03501704	0.035205457	0.4952383	0.26936477	0.08363493
i	0.0068044304	0.003959009	0.0011112596	0.0062911673	0.019618524	0.15321422	0.5234015	0.28559995
</S>	0.0048259217	0.0019717352	0.0038947745	0.009721057	0.01149712	0.044236142	0.20869496	0.71515834
