 	se	vieni	ogni	sabato	ti	compro	il	pane	</S>
a	0.9085347	0.08775171	0.0016923909	0.0019096889	4.150409e-05	1.7088923e-05	1.0899031e-05	2.8636827e-05	1.3447024e-05
n	0.052251875	0.8989588	0.030070769	0.0015459682	0.00652956	0.0034871527	0.004763033	5.825297e-05	0.002334564
è	0.016348515	0.89666146	0.046213567	0.013350969	0.0024811802	0.0005130761	0.0005378704	3.600218e-05	0.023857381
r	0.017374601	0.73983526	0.14274849	0.0827726	0.010379449	0.0021373355	0.0011484036	6.681336e-05	0.0035370823
k	0.01467789	0.7724864	0.05445785	0.06268473	0.002882524	0.0011743101	0.00078212604	0.00028385787	0.09057039
e	0.003992367	0.22265014	0.7283324	0.038695775	0.0046966025	0.0011044203	0.00036553535	6.480623e-05	9.7911885e-05
s	0.0018170979	0.056228433	0.8899736	0.048910048	0.0028922902	0.00011442775	3.09236e-05	2.4793922e-06	3.071466e-05
e	0.0030562372	0.046083048	0.6159614	0.31849474	0.01135453	0.0028037333	0.0005833031	0.00022494247	0.0014380894
k	0.0030781345	0.02087883	0.5147156	0.40019438	0.059637573	0.0012053584	0.00020974495	1.4274662e-05	6.60899e-05
u	0.0023737773	0.011293689	0.2565596	0.7032325	0.020564139	0.0020911805	0.00043246607	5.4630447e-05	0.0033979663
à	0.003512729	0.0119876275	0.09106978	0.5552303	0.33104995	0.005957444	0.0008549623	3.2555337e-05	0.00030464362
i	0.00043133143	0.0021919287	0.016264709	0.7606624	0.21379097	0.005252803	0.00054564676	2.4281662e-05	0.00083594053
s	0.00019006518	0.00026661623	0.0021135954	0.38844618	0.5612156	0.04463611	0.0024921726	5.3298892e-05	0.0005864934
à	0.0014872978	0.0013102321	0.011310051	0.49209207	0.41604778	0.06470578	0.0020925363	0.00013466262	0.010819471
m	0.0022225576	0.003911513	0.0058387853	0.103954725	0.4839974	0.3830009	0.012777111	0.00020700824	0.00409005
b	0.004800663	0.003382804	0.016186176	0.26726466	0.40924013	0.22636993	0.00875382	0.0064842612	0.057517596
a	0.0328796	0.010190556	0.062151942	0.15107705	0.13760576	0.46314192	0.041732073	0.08150178	0.019719321
s	7.065352e-05	0.0003620371	0.0024271104	0.0075134505	0.031030267	0.61588794	0.33391684	0.0046288143	0.0041628634
u	0.008580859	0.0151232835	0.03995066	0.08839764	0.07731307	0.60034025	0.037923064	0.082348645	0.05002258
v	0.00020119942	0.00021789748	0.00048784708	0.0005447084	0.01249825	0.16996996	0.8102212	0.0049596927	0.0008992717
o	0.0010861796	0.001682801	0.003535591	0.01579652	0.032019343	0.57199204	0.24990244	0.026172211	0.09781291
r	0.0001209174	0.00026266158	0.000532182	0.0005352165	0.008996803	0.12802246	0.8421985	0.015655011	0.0036762063
à	0.006666786	0.005001828	0.009206607	0.019090047	0.030703006	0.28494397	0.35195112	0.082920976	0.20951563
z	0.0012332333	0.0013344067	0.0015454879	0.0009872525	0.0035250012	0.0641732	0.77764994	0.111456275	0.03809526
o	0.0048297564	0.0031463976	0.0067697167	0.0070932186	0.01682764	0.11168009	0.22524163	0.4888674	0.13554414
o	0.00051576097	0.00058117	0.0012381385	0.0023516982	0.017615926	0.06365046	0.41455704	0.3237169	0.17577288
t	0.0009888288	0.001795463	0.0039801453	0.0040800977	0.0155744	0.049199797	0.23304313	0.58242255	0.10891556
s	0.0006737477	0.0015357088	0.0034897097	0.004022815	0.0107844155	0.04032235	0.15025297	0.71193135	0.076986976
o	0.005919284	0.00854544	0.01279751	0.0008310755	0.0016277068	0.005288502	0.019283716	0.7760847	0.16962203
m	0.0009968247	0.0011353953	0.0019380979	0.00097010453	0.007955862	0.035770677	0.25106242	0.27149868	0.42867196
ì	0.0014322355	0.0023480584	0.0038910538	0.0012314561	0.0023817369	0.0050067343	0.013419827	0.90063393	0.06965505
</S>	0.0010180038	0.0006322657	0.0008796903	0.0005232868	0.001962483	0.01118227	0.050368153	0.10235571	0.8310782
