 	Marika	tu	hai	mangiato	</S>
M	0.99942553	0.0002804201	0.00023653927	1.979553e-06	5.5487057e-05
a	0.97815084	0.01710184	0.0016749515	0.0001586536	0.0029137344
r	0.91834706	0.05596119	0.018254513	0.002695577	0.0047416124
ì	0.8314316	0.15361817	0.010481258	0.0014450016	0.0030239886
k	0.027059648	0.96096265	0.008733433	0.0004654948	0.0027789471
a	0.07329311	0.6202236	0.05646379	0.16434854	0.085671
e	0.02514512	0.89084095	0.077365205	0.0046457094	0.0020030402
s	0.015348177	0.56426084	0.21920486	0.17769061	0.023495603
ù	0.036821824	0.36120147	0.18012711	0.27566636	0.1461832
è	0.017313305	0.10131658	0.5739011	0.29253188	0.014937113
f	0.008814152	0.029079173	0.1955646	0.629243	0.13729906
e	0.0009553024	0.0055068727	0.024489198	0.8947373	0.07431125
</S>	0.006291953	0.0063118455	0.037822455	0.34189644	0.60767734
