 	non	aveva	da	stare	</S>
e	0.9971341	0.0025840758	4.4153127e-05	1.9416828e-05	0.00021836809
n	0.7926221	0.17139718	0.010287666	0.003728896	0.021964235
ì	0.12619403	0.6911118	0.005810769	0.0020517574	0.17483161
c	0.008464508	0.9658653	0.009225866	0.0051176026	0.011326698
h	0.21395287	0.034460515	0.12663676	0.05549175	0.5694581
e	0.22765855	0.49993563	0.12339437	0.10783446	0.041176993
n	0.013715108	0.038870443	0.88676894	0.01677426	0.04387125
a	0.020890668	0.025689002	0.6868138	0.19899589	0.06761062
s	0.023134256	0.0045789788	0.46004003	0.44887158	0.06337521
t	0.0004466913	0.04689909	0.14682092	0.6617905	0.1440428
a	0.058128983	0.002907647	0.2627186	0.32558987	0.35065493
s	0.0006052994	0.0046751085	0.073484644	0.5787197	0.34251532
ì	0.00024590525	0.01063256	0.018852828	0.82509947	0.14516917
</S>	0.0026263148	0.005564759	0.017202197	0.41329515	0.5613116
