 	non	ci	dimentichiamo	mai	</S>
e	0.99921703	0.0003165231	0.00013826604	2.0533742e-05	0.00030766046
n	0.7000642	0.25878587	0.015864406	0.0054594623	0.019826157
è	0.66241693	0.19416174	0.007174757	0.0012904645	0.13495612
n	0.13427883	0.84899086	0.009016807	0.00016218246	0.0075513544
a	0.12492076	0.6740111	0.010420041	0.027448019	0.1632
a	0.06957992	0.8903707	0.037682854	0.00012212405	0.0022443754
l	0.009387428	0.913563	0.0669999	0.0025678955	0.0074818274
l	0.020836342	0.64270157	0.22095732	0.0061050234	0.109399855
i	0.036798894	0.016938724	0.5366855	0.0708407	0.33873618
m	0.054123364	0.09274215	0.7917367	0.0051047406	0.056293055
o	0.003427008	0.05661225	0.6565805	0.051092036	0.23228824
n	0.11227318	0.13719334	0.48587406	0.17895833	0.085700996
i	0.009107583	0.08099487	0.26017815	0.20118405	0.44853535
s	0.13679615	0.12985079	0.09825179	0.47730088	0.1578003
t	0.004508833	0.029098127	0.07179186	0.4600214	0.43457982
ù	0.021243112	0.004830764	0.1438729	0.42159554	0.40845764
m	0.012187325	0.005220683	0.027739085	0.8235944	0.13125847
e	0.0056395386	0.009464714	0.09007055	0.4691081	0.4257171
s	0.023436135	0.0071559865	0.018934868	0.70283806	0.24763495
t	0.0031261896	0.005852113	0.011134433	0.6777001	0.3021872
a	0.008507909	0.00090359553	0.02269848	0.8184919	0.14939809
m	0.0049274852	0.012659199	0.006716918	0.2964374	0.679259
à	0.00882032	0.010296442	0.018977504	0.5841925	0.37771323
i	0.021296501	0.0069152573	0.008555947	0.48945743	0.4737749
</S>	0.0025375462	0.01648917	0.0017850667	0.31010023	0.669088
