 	forse	sono	usciti	</S>
f	0.99889696	0.0010202097	3.481814e-06	7.935144e-05
ò	0.7598456	0.025665347	0.19625366	0.018235397
r	0.9462524	0.007839008	0.026094133	0.01981442
s	0.4221073	0.028279226	0.35210717	0.19750622
i	0.6168054	0.3291554	0.049522415	0.00451689
e	0.18369105	0.7675453	0.021082336	0.027681306
g	0.011954293	0.075112514	0.83402026	0.07891301
g	0.0053379633	0.012115565	0.7478113	0.23473516
u	0.015794486	0.009390577	0.29375654	0.68105835
ì	0.0061697043	0.015590868	0.5529934	0.42524606
k	0.008598717	0.12556076	0.2786455	0.587195
a	0.13312067	0.7038263	0.0025368414	0.16051616
n	0.0006613652	0.0014610842	0.040312752	0.95756483
e	0.1502594	0.82046753	0.0078573	0.021415848
</S>	0.0004759764	0.0004583772	0.005169056	0.99389654
