 	è	che	sono	usciti	</S>
è	0.956824	0.038899403	0.0035468978	1.811883e-05	0.0007116739
n	0.28838614	0.021714464	0.0067748064	0.518165	0.16495958
a	0.018403592	0.01273385	0.0033402576	0.70097756	0.26454479
g	0.0048747435	0.024977557	0.059257373	0.807231	0.10365931
u	0.006422106	0.00862049	0.0072409553	0.12323802	0.8544784
ì	0.017151427	0.026151653	0.040201146	0.69099486	0.22550091
k	0.042655814	0.146226	0.10848856	0.30131775	0.40131184
a	0.04443801	0.2836961	0.46626562	0.0023182349	0.20328203
n	0.001213619	0.0017175401	0.003329859	0.102161705	0.89157724
e	0.1508894	0.37518978	0.4514981	0.0018366214	0.020586003
</S>	0.00034477902	0.00043099906	0.000588592	0.008046995	0.99058867
