 	ho	messo	uno	specchio	sul	muro	</S>
è	0.94818115	0.05075606	0.0010253739	2.333829e-05	1.3709978e-06	8.9367506e-07	1.1737109e-05
v	0.02679122	0.00822014	0.9552573	0.007312695	0.00020568426	0.0004286409	0.0017843533
a	0.038476173	0.10057846	0.820072	0.006318884	0.00012715714	0.003128213	0.03129908
l	0.0041253576	0.14541319	0.8478678	0.0024669995	1.5323864e-06	9.75383e-06	0.00011536335
a	0.008007478	0.52142245	0.4482413	0.0047363196	0.00042730302	0.001528351	0.015636804
è	0.13610311	0.8206565	0.023799172	0.017845947	0.00018381349	0.00038521172	0.0010262305
n	0.011017051	0.07334764	0.27956277	0.63365114	0.00028780216	0.00045506223	0.0016785831
a	0.012228613	0.06485998	0.18083794	0.710012	0.0013027411	0.0054223477	0.025336351
n	0.008028994	0.034201663	0.014901115	0.9316649	0.0071243304	0.0018427692	0.0022362429
j	0.0085630575	0.058385935	0.034064334	0.866189	0.010102939	0.0049472353	0.017747432
a	0.21401529	0.07777911	0.01674351	0.38790026	0.24425107	0.009409302	0.049901396
l	0.007796221	0.053659476	0.01991071	0.35121006	0.5060537	0.016127285	0.04524255
ì	0.029043073	0.13626099	0.014549204	0.11405887	0.34813818	0.13541783	0.22253193
s	0.03633197	0.0033113412	0.00028634706	0.014260304	0.8390467	0.05425873	0.052504573
t	0.0070343437	0.020269953	0.00097138435	0.012049198	0.67478776	0.1713867	0.113500625
o	0.0077167447	0.003307284	0.0042416845	0.010526647	0.88908684	0.05406918	0.031051708
t	0.0023640168	0.003168274	0.0003183328	0.0028417076	0.7513841	0.117208496	0.12271506
ì	0.0082264915	0.026381444	0.0004998218	0.0028009093	0.66806704	0.18166988	0.112354435
c	0.0056396336	0.0007212049	0.000239466	0.0037031982	0.16959192	0.66793144	0.15217309
h	0.014491327	0.009489561	0.0033695933	0.008633178	0.42890978	0.41636074	0.118745774
o	0.011374651	0.001416301	0.0005409277	0.0025076622	0.8008916	0.02797948	0.15528946
</S>	0.0014497869	0.0010922687	0.0007707445	0.01747555	0.049947128	0.36220422	0.5670603
