 	avete	fatto	già	le	verdure	</S>
i	0.9966876	0.0032821612	2.1521602e-05	5.007314e-06	1.5135133e-07	3.6489066e-06
k	0.8290059	0.026052779	0.014630052	0.003580069	0.08476351	0.041967683
à	0.39424264	0.43391275	0.021286746	0.0029504502	0.00771684	0.13989054
m	0.49293563	0.4472231	0.038397625	0.0023188533	0.007083956	0.012040829
a	0.16998711	0.51270187	0.10523446	0.008344527	0.007460472	0.19627152
t	0.0768383	0.5163744	0.4028157	0.003665902	1.7443688e-05	0.00028824873
o	0.027032316	0.48920247	0.4330012	0.017415043	0.0010118376	0.032337178
g	0.05253085	0.05910403	0.82281274	0.064850524	3.578731e-05	0.0006659639
i	0.0153978765	0.15504576	0.6185793	0.16027537	0.01735892	0.03334273
à	0.063253045	0.042441085	0.44594124	0.41968122	0.0015925944	0.02709088
t	0.014157191	0.009802856	0.16670632	0.73470294	0.059679367	0.014951405
a	0.008689692	0.048408937	0.3277842	0.31790486	0.22548291	0.07172939
l	0.017425181	0.0155196935	0.1274921	0.6558999	0.012437626	0.17122543
à	0.0051664305	0.059232544	0.077062555	0.35200527	0.18094864	0.32558456
c	0.03236511	0.017151652	0.026318341	0.22414069	0.4626788	0.23734537
h	0.08156918	0.08515363	0.11525775	0.16403206	0.029096097	0.5248913
a	0.032024704	0.016698247	0.04128246	0.2178517	0.41228598	0.27985692
n	0.00096327317	0.0014636472	0.006901422	0.062794015	0.008160915	0.9197168
a	0.027143704	0.26877603	0.109970175	0.07792396	0.020468382	0.49571767
</S>	0.007378876	0.0034809103	0.009519834	0.034515318	0.024020046	0.92108506
