 	sicuramente	stanno	ancora	svegli	</S>
s	0.99834037	0.0013988523	5.4813365e-05	2.7792144e-06	0.00020309466
i	0.91648525	0.018155755	0.011833435	0.016168103	0.037357386
k	0.9993228	0.0004880292	2.2202415e-05	1.9132585e-06	0.00016508099
u	0.95877016	0.010766006	0.0035505937	0.0020019852	0.02491138
r	0.9587422	0.041082103	7.440085e-05	1.0442529e-06	0.000100234414
a	0.82805747	0.061588548	0.016775534	0.0061237696	0.08745459
m	0.59320176	0.40608305	0.0004310001	2.3755824e-06	0.00028181457
è	0.5431996	0.26741746	0.025573	0.0069769463	0.156833
n	0.40740803	0.59012187	0.0017758815	8.817859e-06	0.00068547967
t	0.17405686	0.70702153	0.043730374	0.006163258	0.06902809
e	0.05127335	0.9022092	0.038493376	0.00016651204	0.007857517
s	0.13401522	0.8217887	0.041269455	2.5595808e-05	0.0029009962
t	0.09706023	0.7387	0.09924888	0.005623574	0.059367303
è	0.12890784	0.74602294	0.077594906	0.00029916366	0.04717515
o	0.26502445	0.3047008	0.4058737	0.00025451745	0.024146575
n	0.034688715	0.056561876	0.8503074	0.035520718	0.022921348
e	0.03013041	0.039899945	0.6489981	0.12860847	0.15236308
a	0.20093745	0.026085127	0.7208956	0.012099908	0.039981883
n	0.006862126	0.004988317	0.4147649	0.51342607	0.05995859
k	0.016350701	0.007292165	0.36675107	0.50037175	0.109234296
ò	0.4917252	0.051167794	0.15238756	0.007904522	0.29681492
r	0.11214864	0.060499627	0.6156231	0.08909443	0.122634195
a	0.014211174	0.023766318	0.6355785	0.28664958	0.03979439
a	0.17771854	0.04476608	0.5940372	0.028010556	0.15546758
t	0.0014417386	0.0006146029	0.012797287	0.91018814	0.07495823
s	0.0030991216	0.0011718409	0.019728968	0.9642607	0.011739416
ù	0.08559373	0.021390373	0.09782753	0.20782642	0.58736193
n	0.04521847	0.0076537463	0.021691486	0.8698397	0.05559654
n	0.009846526	0.0122466935	0.078871846	0.8628076	0.036227405
i	0.10692834	0.03318976	0.3505838	0.4431803	0.06611776
t	0.01045467	0.0018926853	0.010897148	0.3451542	0.63160133
i	0.0067453897	0.020263389	0.07614763	0.86769027	0.029153299
</S>	0.004421192	0.00063487305	0.0068312134	0.023377134	0.9647355
