 	la	casa	la	costruiscono	i	muratori	</S>
t	0.99784184	0.002113469	4.211719e-05	9.807418e-07	5.737784e-07	4.050239e-07	6.707669e-07
o	0.84605896	0.10784391	0.016023213	0.0033540921	0.0052793953	0.0026352194	0.018805094
s	0.6496032	0.34206408	0.006426142	0.0008829738	0.00022409191	0.00029230872	0.00050711154
p	0.21214929	0.6714663	0.0561359	0.008633616	0.0020326902	0.0015855324	0.047996648
ì	0.24282508	0.70116097	0.055104133	0.00025456402	0.00047460638	6.926842e-05	0.00011130607
t	0.068794765	0.854852	0.074922256	0.00034316303	0.00035734565	3.9999635e-05	0.0006903738
i	0.013364416	0.8177482	0.13783152	0.010105871	0.0018927549	0.01665445	0.0024027906
t	0.12777309	0.12465188	0.73998713	0.0066332174	0.0008743805	3.5823487e-05	4.4586326e-05
o	0.0047705304	0.17043439	0.76148176	0.031573154	0.005316775	0.0103015695	0.016121844
f	0.05398746	0.05442602	0.755718	0.11782328	0.016005738	0.00096246117	0.0010770089
a	0.003348584	0.05954983	0.7004326	0.18030867	0.0140618635	0.009943891	0.032354612
b	0.04957503	0.02189914	0.16340326	0.66724306	0.09474166	0.0015682396	0.001569581
b	0.0041738823	0.046050686	0.32077068	0.49965745	0.044270996	0.026312739	0.058763586
r	0.3702878	0.1375026	0.39955536	0.018220711	0.051202863	0.002066377	0.021164242
i	0.22745934	0.24613696	0.42699218	0.030680858	0.04702196	0.0035514352	0.018157396
k	0.016259918	0.018772574	0.037164237	0.14015943	0.7805375	0.0005828939	0.006523538
è	0.0014023535	0.014092238	0.017896581	0.78737116	0.08250402	0.06846542	0.028268194
o	0.02402447	0.006498554	0.0041749044	0.071503736	0.8884712	0.0029696845	0.0023574021
n	0.0026632	0.0075188745	0.0045189564	0.044820674	0.854695	0.06756486	0.018218448
e	0.0042957566	0.020353273	0.0091926195	0.12912983	0.5392322	0.21858856	0.07920778
i	0.023525218	0.010569112	0.004640561	0.01742126	0.8487708	0.039277803	0.055795204
f	0.0062221624	0.014052241	0.0086345235	0.018403469	0.41057837	0.4252979	0.11681134
a	0.0033283706	0.016512394	0.006154337	0.10842449	0.1853523	0.44576642	0.23446172
b	0.02284162	0.014896681	0.008992016	0.017108405	0.44410548	0.13300453	0.3590513
b	0.0057571987	0.024133524	0.006875715	0.045417607	0.08777278	0.61725336	0.2127898
r	0.12913328	0.10525599	0.094133586	0.049630325	0.13004467	0.030860975	0.4609411
i	0.14914039	0.192673	0.2303229	0.14274545	0.12986404	0.018036844	0.13721733
k	0.009173404	0.0057740626	0.005838129	0.007709216	0.111208856	0.040012494	0.82028383
a	0.0076340977	0.06244418	0.015229476	0.061512638	0.1494663	0.4403008	0.26341254
t	0.038749218	0.014344598	0.006187801	0.00675915	0.137858	0.066445686	0.72965556
ò	0.003080165	0.010583726	0.0045445543	0.013072884	0.027549766	0.70808804	0.23308083
r	0.024301043	0.014174875	0.009031912	0.012764166	0.034558084	0.3441392	0.56103075
i	0.006638831	0.029121323	0.0076647345	0.022589287	0.028255194	0.8153786	0.09035206
</S>	0.002804662	0.0014786142	0.0012216216	0.002885738	0.018183537	0.052592177	0.9208336
