 	non	li	aspettiamo	più	</S>
e	0.9754402	0.023572376	0.0003917741	4.1534873e-05	0.0005541977
t	0.81248945	0.13554819	0.011956325	0.011915459	0.028090665
u	0.20467037	0.7176652	0.008747433	0.0008772504	0.06803977
s	0.03203816	0.9123389	0.05271521	0.00063783146	0.0022698338
m	0.075998664	0.21635877	0.38578323	0.011335864	0.31052345
è	0.26414126	0.56780744	0.018751698	0.036018677	0.113280796
n	0.080719315	0.61339945	0.26278728	0.0071203164	0.035973627
u	0.03159998	0.20667711	0.4139047	0.13243136	0.21538691
m	0.12239392	0.13341111	0.48318073	0.21311168	0.047902595
e	0.005522964	0.14268921	0.29022503	0.111292295	0.45027047
p	0.019858206	0.04590087	0.04004603	0.7866033	0.10759166
l	0.003553468	0.061327882	0.023128549	0.40148678	0.5105033
è	0.004468355	0.039120905	0.0072558336	0.08131774	0.8678372
o	0.021958718	0.010241684	0.010440512	0.71459556	0.24276352
</S>	0.0016797213	0.008192665	0.0084950095	0.38035703	0.60127556
