 	ho	cosa	a	fare	</S>
è	0.92687887	0.0714726	0.000794056	6.333943e-05	0.00079112966
c	0.12689558	0.07488819	0.004006321	0.5577655	0.23644444
h	0.04463167	0.42978826	0.003907061	0.22622707	0.29544592
o	0.011828862	0.9650405	0.00290179	0.014421015	0.00580776
t	0.058227763	0.8588792	0.044237312	0.012383581	0.026272228
i	0.013006631	0.31669655	0.21827549	0.36859554	0.08342574
k	0.09272873	0.03831151	0.75846565	0.08276387	0.027730266
à	0.039132	0.053927828	0.0808548	0.44280043	0.38328493
i	0.4964381	0.031024406	0.109477654	0.3074067	0.05565309
</S>	0.0045060706	0.0036382037	0.016790787	0.42244232	0.5526226
