 	io	al	mio	fratello	non	gli	lo	scrissi	mai	una	lettera	al	mio	fratello	</S>
e	0.98994815	0.009284074	0.0005201064	5.508997e-05	3.912803e-05	6.908744e-05	3.3745378e-06	6.979817e-05	2.278363e-06	3.4898117e-06	3.266844e-07	3.7440536e-06	3.5810652e-07	1.1192174e-07	8.317457e-07
v	0.7896804	0.06608433	0.042707656	0.0120974155	0.03058554	0.01894482	0.016437655	0.0017002097	0.0036161237	0.0047209472	0.0093554715	0.0004467472	0.0011523311	0.0005603799	0.0019098705
ò	0.6294358	0.26796994	0.04718627	0.0019863541	0.003475854	0.041485257	0.0012819486	0.00021561176	0.00038479056	0.0007861077	0.0003424342	4.87996e-05	6.90109e-05	2.0714506e-05	0.0053110975
s	0.38978568	0.44909644	0.11519252	0.014345274	0.020790746	0.0016266739	0.0037331842	0.00035701893	0.0008567539	0.0012005916	0.0007229513	3.3077362e-05	6.131177e-05	1.6700753e-05	0.0021810688
t	0.16910587	0.4057881	0.08330921	0.047891922	0.045355767	0.049692906	0.00936782	0.0010812508	0.004799903	0.0041378518	0.0052839536	0.00025437184	0.000561964	0.00113621	0.17223296
o	0.005450115	0.9835802	0.006300161	0.0010684677	0.000667637	0.00025816154	0.00030413698	0.0018145952	0.00019937765	0.00022534929	8.270814e-05	1.252285e-05	1.2091372e-05	1.4712181e-06	2.2913793e-05
d	0.07103219	0.6187711	0.30494487	0.004073482	0.0005042747	6.5606284e-05	0.0003099345	1.5152447e-05	0.00011457805	0.00014584875	6.6897214e-06	2.7237506e-06	3.1808358e-06	6.0361174e-07	9.753159e-06
e	0.017953351	0.47884506	0.22113505	0.0917757	0.047711242	0.03458911	0.027888423	0.0022137568	0.023775356	0.024245972	0.013990453	0.0007090422	0.0011929078	0.00052523223	0.013449337
r	0.055083457	0.03392296	0.77130544	0.12969872	0.0062530404	0.001034576	0.001791332	4.02046e-05	0.0003973101	0.00036150822	4.3604945e-05	6.222359e-06	1.1343171e-05	3.957798e-06	4.6336416e-05
f	0.015084205	0.07926105	0.25616494	0.39331982	0.08456258	0.070766516	0.023984289	0.0010154812	0.013334133	0.012969675	0.017531382	0.00023870968	0.0005355097	0.00023653389	0.030995235
ò	0.24984285	0.4744347	0.14777336	0.066428415	0.007590853	0.0025459062	0.004271637	0.035581242	0.0040385523	0.0038981442	0.0002858668	0.0020538582	0.00031122597	7.567964e-05	0.0008677111
m	0.019023802	0.01083816	0.30565828	0.6166493	0.040588077	0.00086835446	0.004485607	0.00023708867	0.0008770984	0.0005244374	0.00013986764	1.0607219e-05	1.0642795e-05	5.181194e-06	8.344028e-05
u	0.005612162	0.013503921	0.14645736	0.52592075	0.05075831	0.12339793	0.02941255	0.0020398072	0.015051178	0.013838297	0.020525614	0.0005727599	0.0013099556	0.005504557	0.04609485
e	0.016711956	0.007014332	0.078690976	0.4733225	0.34287322	0.011920987	0.06372273	0.0006741729	0.0037364163	0.0010948518	0.00015941761	1.2276869e-05	2.1861082e-05	5.8017326e-06	3.858815e-05
n	0.00041458567	0.00044138034	0.011344649	0.07230231	0.086908594	0.6732831	0.1386301	0.0005924902	0.0097432425	0.0035113324	0.002643349	8.89247e-06	6.6414825e-05	1.269262e-05	9.687937e-05
t	0.0011070182	0.0012031482	0.01396994	0.076754734	0.09190458	0.69460636	0.094460644	0.0009677534	0.01037241	0.0054397467	0.0065244325	3.406219e-05	0.00010761217	3.387136e-05	0.002513763
u	0.015513924	0.015472641	0.018087842	0.1474482	0.052255064	0.02837353	0.13327754	0.3230895	0.12474649	0.07775311	0.00700672	0.023081753	0.007812054	0.0017023963	0.024379274
