 	la	macchina	vuole	riparata	dal	meccanico	</S>
i	0.9997322	0.000246232	2.3000778e-06	6.305598e-07	1.0913612e-05	1.221688e-06	6.604496e-06
m	0.65086913	0.25761703	0.020898148	0.012918291	0.042475585	0.0009263485	0.014295427
à	0.34206277	0.628577	0.009644704	0.0027518	0.0044050845	0.0010921989	0.01146644
k	0.110168196	0.8796699	0.007007951	0.00026101465	0.0013400353	2.1402535e-05	0.0015315649
i	0.11648826	0.72734207	0.030210651	0.003952995	0.0029732704	0.0093279965	0.10970468
n	0.12447431	0.8146562	0.060163952	0.0003408417	0.00011734852	7.678324e-07	0.0002465829
a	0.025156392	0.51982385	0.42604378	0.0049500973	0.0022667197	0.0031197357	0.018639447
t	0.122354284	0.18042216	0.6901868	0.0034979896	0.0005485572	1.2850087e-05	0.0029774297
è	0.0044312663	0.074410655	0.8967656	0.010769837	0.0008603179	0.00088724855	0.011875122
l	0.008954677	0.011597268	0.9528024	0.025140135	0.0011400381	4.6268164e-05	0.00031928503
i	0.0046533076	0.023169046	0.9218278	0.03690338	0.0005080449	0.0011756839	0.011762683
s	0.15417229	0.19955572	0.42259505	0.19887623	0.019699255	0.00011648209	0.004985057
t	0.001959838	0.013530126	0.6538522	0.31254664	0.0014504048	0.0013302123	0.015330567
i	0.038923845	0.0073892665	0.63277024	0.1038809	0.13023266	0.032256834	0.054546252
a	0.023687104	0.0959692	0.18655558	0.5735044	0.09685699	0.00029535682	0.023131387
m	0.009255413	0.034390915	0.11322727	0.7462524	0.088261254	0.005007995	0.003604663
m	0.010662388	0.040169727	0.11347137	0.76679236	0.01651601	0.0066743214	0.04571392
è	0.06016741	0.0204812	0.061493404	0.4024113	0.13235246	0.008215157	0.3148791
n	0.011601539	0.0108337505	0.03845135	0.15249608	0.7608156	0.0033400294	0.022461608
i	0.007370309	0.016420387	0.032001045	0.8603225	0.05323327	0.0041595097	0.026493024
à	0.016849412	0.011572846	0.025778506	0.015337642	0.89934605	0.0029847359	0.028130857
t	0.06474635	0.08058459	0.03279069	0.025670273	0.30321547	0.27726713	0.2157255
t	0.009393472	0.02647796	0.029370941	0.10610181	0.44974795	0.25081134	0.12809652
o	0.019947464	0.014525928	0.015631812	0.02116696	0.31862584	0.05859062	0.5515114
m	0.0032212115	0.008615802	0.010983089	0.0053769764	0.15186635	0.10144478	0.7184918
e	0.033216693	0.07495612	0.007921747	0.08006127	0.100446105	0.04055109	0.662847
k	0.014969543	0.022352539	0.014928207	0.009829712	0.15226378	0.07539243	0.7102637
k	0.035618108	0.085226595	0.010210599	0.035769142	0.023652738	0.1764506	0.6330722
à	0.036746312	0.019583402	0.025690481	0.015820632	0.11455822	0.38922057	0.39838037
n	0.001127757	0.0010953025	0.0015706177	0.0015688407	0.022180026	0.5549281	0.4175293
i	0.07753741	0.19543189	0.009664422	0.062414654	0.030779386	0.14600317	0.47816908
k	0.007628261	0.0077899992	0.007954719	0.008923539	0.057749007	0.0762204	0.8337341
o	0.04868737	0.116066515	0.0054478324	0.024046376	0.010026483	0.33394897	0.4617765
</S>	0.020284869	0.031231439	0.011456388	0.006285862	0.025381405	0.12808663	0.7772734
