 	i	bambini	non	possono	mangiare	il	gelato	prima	di	mangiare	</S>
t	0.9971927	0.002504121	0.00011556356	0.00017638554	3.36114e-06	4.6280206e-06	5.0780625e-07	2.1053686e-06	6.229262e-08	5.729019e-08	6.1301165e-07
a	0.87065935	0.005070381	0.0024296767	0.0807274	0.006338357	0.01633173	0.0037975942	0.0027315272	0.00094402384	0.00044157234	0.01052834
p	0.9743818	0.0063143517	0.00083204184	0.015913729	0.00094185414	0.0012147117	0.00016640552	7.818662e-05	2.1167369e-05	1.8760746e-05	0.000116878866
e	0.6725378	0.0642903	0.02110388	0.22063687	0.010674406	0.0037431796	0.0011347366	0.00013260753	0.00015044985	6.793262e-05	0.0055277306
t	0.6206108	0.290673	0.011178464	0.07390984	0.0017793654	0.0011585869	0.0001003967	0.0001821474	3.5170033e-05	1.8805693e-05	0.00035347324
ì	0.14974548	0.34442922	0.11870343	0.28739616	0.07288462	0.010633532	0.0015438388	0.0017861783	0.00084065075	0.00042781897	0.01160912
a	0.19572914	0.5428248	0.20417036	0.05421827	0.0026094615	0.00035938935	2.2035712e-05	2.9988092e-05	9.939267e-06	6.7272135e-06	1.9918261e-05
e	0.010202094	0.090203635	0.16883531	0.5934915	0.12792225	0.005634564	0.0016913124	0.000115935974	0.0001770897	0.00010125307	0.0016251194
s	0.005041735	0.0145485625	0.024291314	0.8827525	0.069333084	0.0029785978	0.0007938107	2.2685555e-05	2.9058328e-05	1.7517203e-05	0.00019099355
ò	0.0085178735	0.032350037	0.11304492	0.6389923	0.17959349	0.015388314	0.0014947524	0.0005372243	0.0002893068	0.000372559	0.009419103
z	0.03243531	0.042388264	0.17546073	0.612688	0.11914074	0.011696996	0.0028194734	0.0001866111	0.0003426668	0.00029282272	0.0025483787
u	0.0053732465	0.0617046	0.062931545	0.33673248	0.45162994	0.019474879	0.0039963746	0.0018997645	0.002374366	0.0054528425	0.04843
n	0.0031969557	0.004585205	0.0031237486	0.1724931	0.71623886	0.09250958	0.00709417	0.00022037081	0.00019873372	7.16825e-05	0.00026757916
e	0.0020177127	0.01972889	0.01886477	0.20886584	0.62636423	0.06572679	0.006348337	0.004307135	0.0033910081	0.0024398603	0.04194546
f	0.0018932592	0.0037794274	0.0013892517	0.0149378935	0.72672457	0.22822262	0.02159148	0.00064853067	0.00046224202	0.00015392771	0.00019681703
à	0.0014973105	0.01578211	0.011347465	0.10035801	0.61493677	0.18084455	0.014505403	0.0073541147	0.005837449	0.0035749518	0.043961886
i	0.009355777	0.0090658385	0.008387049	0.016848512	0.39419454	0.50379896	0.041776575	0.0057604876	0.0070148897	0.001649917	0.002147416
t	0.000433651	0.0014806972	0.00047701225	0.008362186	0.06993325	0.7259044	0.0834632	0.07266161	0.026352655	0.007306146	0.0036251803
