 	le	melanzane	vogliono	girate	</S>
e	0.9997943	0.00017994734	4.077143e-06	1.7683502e-07	2.1619178e-05
m	0.88922566	0.038044747	0.01985936	0.0038802144	0.048990108
a	0.7858409	0.08298323	0.0065951375	0.000520105	0.12406065
r	0.8897506	0.10917948	0.00043332015	6.15754e-05	0.0005750384
a	0.13471702	0.68841606	0.016413504	0.0007690111	0.15968439
n	0.33601063	0.65949696	0.0033955113	0.00024066074	0.00085619197
g	0.033170216	0.6356451	0.06864689	0.0016388899	0.26089895
i	0.95579344	0.02524025	0.0027365389	0.0039472547	0.012282653
à	0.8583288	0.13082828	0.008302487	0.0003752413	0.0021652314
n	0.071175404	0.8684495	0.042575132	0.0011076257	0.016692327
e	0.0070433887	0.15839633	0.73975784	0.008816113	0.085986294
e	0.36278954	0.09113138	0.49763185	0.03099433	0.017452884
t	0.0026327046	0.024004322	0.8544154	0.09683785	0.022109717
è	0.004337424	0.025819642	0.8632618	0.045795314	0.060785804
l	0.037510715	0.021762293	0.27272496	0.6512116	0.01679042
u	0.0021449986	0.009694448	0.78600323	0.09122237	0.11093495
n	0.02668166	0.01307344	0.04621279	0.8097354	0.10429668
v	0.0047424245	0.009037982	0.18601097	0.60303	0.1971786
o	0.013052641	0.0020028206	0.017710451	0.065284185	0.90194994
t	0.007228045	0.004784549	0.014974985	0.4476151	0.5253973
i	0.007695328	0.009300094	0.15832356	0.60678136	0.2178997
m	0.03194652	0.013817834	0.019312603	0.14393996	0.7909831
m	0.010814576	0.008229384	0.026798926	0.5320995	0.4220577
è	0.016754793	0.003199087	0.02000302	0.13089707	0.829146
n	0.001612114	0.000498154	0.001004607	0.020485783	0.97639936
e	0.04126232	0.020607317	0.03897251	0.65994436	0.23921348
</S>	0.004012558	0.0015174601	0.0019501154	0.017790267	0.97472966
