 	è	che	è	entrato	da	qui	</S>
è	0.9624609	0.02661422	0.0009429724	0.009941847	4.193557e-06	1.2765876e-06	3.4499684e-05
n	0.32674202	0.04662087	0.012659332	0.33773932	0.06818138	0.021716597	0.18634051
a	0.15511717	0.07993031	0.03526801	0.37758595	0.009016907	0.009213683	0.33386797
m	0.022827093	0.3555521	0.3450187	0.2734377	0.0015991897	4.5873232e-05	0.0015192771
b	0.0010550735	0.0068191225	0.03213628	0.94408256	0.0043354733	0.0006707578	0.010900679
ì	0.052500494	0.1380697	0.07726878	0.7264818	0.0045294734	9.478424e-05	0.0010550905
k	0.021424636	0.08300312	0.7437234	0.14086463	0.007766863	3.2869622e-05	0.0031844713
e	0.0018451887	0.021627227	0.09142247	0.8680791	0.006004221	0.0040779375	0.0069438643
a	0.096599184	0.056264505	0.22049685	0.24895383	0.37474078	0.0004945387	0.0024502708
p	0.0022064627	0.00402497	0.063320905	0.11842286	0.7998084	0.004381673	0.007834745
ò	0.0040202346	0.004338664	0.02809124	0.026657984	0.91404057	0.004518324	0.018333036
t	0.0062934775	0.0059784437	0.0076884525	0.008355915	0.9667634	0.0021561184	0.0027642066
t	0.005398089	0.0090842005	0.053225026	0.02013587	0.51898915	0.34897387	0.044193782
u	0.044107758	0.033190448	0.060412962	0.08959347	0.16845332	0.31944197	0.2848001
</S>	0.0030066434	0.0027150896	0.025558198	0.0054567982	0.123043984	0.5797613	0.26045802
