 	voi	avete	mai	mangiato	il	pasticciotto	</S>
e	0.99985516	0.00012684139	1.2922801e-05	1.5041485e-06	6.889147e-07	1.8068992e-07	2.6643913e-06
s	0.98892933	0.0041126264	0.0027968148	0.0023867243	0.0003752539	0.00036642907	0.0010329369
ì	0.9724753	0.022673395	0.0012388024	0.00047572688	7.093324e-05	2.7587826e-05	0.0030381652
ì	0.95134294	0.0444149	0.002703693	0.0011248168	6.193624e-05	2.3267436e-05	0.00032852314
s	0.53010744	0.46640024	0.00263629	0.00068640977	4.6493424e-05	9.180007e-06	0.0001139459
e	0.33620825	0.50743234	0.02338452	0.0093643805	0.00042287697	0.012847156	0.11034047
s	0.07090816	0.88495713	0.04274774	0.0012204008	2.2304594e-05	3.671093e-06	0.00014060724
t	0.0431475	0.7543768	0.11145177	0.029739905	0.0012840529	0.004742076	0.055257905
a	0.12049142	0.40841687	0.42709935	0.023062177	0.005040815	0.0013581831	0.014531181
f	0.08133302	0.31961605	0.585155	0.011651405	0.00074494816	3.0155054e-05	0.001469497
a	0.05485424	0.29648337	0.46161956	0.07154198	0.009264189	0.011434469	0.09480223
m	0.03411254	0.024811093	0.77133757	0.1655884	0.0032363192	0.000118871125	0.0007951871
è	0.014290648	0.07918039	0.6878777	0.14789565	0.0068417694	0.0048987893	0.059015073
n	0.004909575	0.0055725086	0.30571458	0.6744981	0.0088582495	5.781046e-05	0.00038921062
a	0.0069633895	0.030039933	0.3997179	0.30317548	0.018795883	0.029510926	0.21179648
m	0.014508726	0.009838854	0.09052371	0.6757569	0.2049777	0.0014668723	0.0029272956
a	0.0067426665	0.028069563	0.09609334	0.56062996	0.13437435	0.035625786	0.13846438
i	0.004420773	0.004610896	0.028319092	0.43884084	0.5152001	0.005225417	0.0033829317
i	0.0031551013	0.008038919	0.006502347	0.13222332	0.8407901	0.0064353137	0.0028549833
l	0.0070578824	0.015027143	0.009101667	0.09091544	0.85110736	0.019267725	0.0075227204
p	0.006762736	0.021235274	0.018442182	0.16282697	0.33296627	0.3277222	0.13004436
a	0.008439984	0.009437971	0.0066409614	0.016851781	0.21752304	0.49274498	0.2483613
s	0.0055422923	0.0067230826	0.017301142	0.10092345	0.2882762	0.36724994	0.21398388
t	0.004883043	0.015872896	0.012005574	0.040133502	0.09494705	0.5002149	0.33194306
i	0.009625484	0.005300308	0.023378262	0.013770818	0.033763826	0.7682259	0.1459354
c	0.000820036	0.0019352462	0.009281248	0.04627794	0.05042214	0.72500527	0.16625816
c	0.0042264704	0.012651636	0.0083297985	0.029539572	0.074271046	0.63423306	0.23674844
i	0.0358032	0.02717477	0.0052902675	0.010159161	0.12336977	0.39129525	0.40690753
ò	0.06114804	0.03886806	0.15730534	0.33132032	0.18304366	0.13467248	0.0936421
t	0.0011410295	0.0011162943	0.0011513955	0.0032678375	0.011254118	0.9234592	0.05861017
t	0.0004031863	0.0010087221	0.0005002531	0.00225438	0.008104541	0.96280444	0.024924519
o	0.0074178576	0.0021306216	0.0075083897	0.0045625786	0.006905495	0.8372074	0.13426767
</S>	0.0007753974	0.00093795266	0.0032464447	0.023182526	0.023313202	0.3025324	0.64601207
