 	i	genitori	non	li	dimentichiamo	mai	</S>
u	0.9982811	0.0014989382	0.00016418393	4.209641e-05	2.6207133e-06	1.5417917e-06	9.44679e-06
g	0.90830743	0.03091454	0.018921023	0.02382992	0.0033572556	0.0027493704	0.0119203385
e	0.7321603	0.17653225	0.012848268	0.019671211	0.0011357447	0.00049173925	0.057160437
n	0.24211347	0.69028234	0.021544257	0.029903652	0.00027798524	0.0001184249	0.015759928
i	0.21909668	0.6001506	0.0840449	0.027346982	0.0013635836	0.0027860033	0.06521136
t	0.38075852	0.4274886	0.17813833	0.012722101	0.0004879082	0.00011901677	0.00028549577
ò	0.05551022	0.6128968	0.21035753	0.023461517	0.0014887896	0.0026046794	0.09368042
r	0.059804402	0.23200056	0.6398048	0.06698996	0.0009736631	3.401998e-05	0.00039255145
u	0.060708016	0.32399723	0.36420068	0.06250417	0.0054432224	0.020069098	0.16307755
e	0.13255575	0.032590415	0.27713215	0.55433965	0.0028189973	0.00018224765	0.00038074868
n	0.003663631	0.016143585	0.1716222	0.8012713	0.0040193335	0.00063560257	0.002644392
è	0.009207195	0.030577032	0.2328059	0.6536087	0.028235799	0.0019178161	0.043647565
n	0.03709651	0.02566194	0.09732378	0.7570724	0.073653534	0.0011645366	0.008027375
u	0.008937931	0.011606331	0.08242029	0.41948685	0.24520779	0.099883795	0.13245705
s	0.021250684	0.01325831	0.04143542	0.6423081	0.23233303	0.013082506	0.03633191
s	0.0022753405	0.0044737463	0.024408616	0.12556173	0.5949684	0.085683905	0.16262831
c	0.013672182	0.00823105	0.0069730747	0.034468155	0.6402367	0.11242452	0.18399432
e	0.05389762	0.06086488	0.018089322	0.23831405	0.22123283	0.28951225	0.11808911
r	0.3028427	0.05138698	0.082122505	0.14407447	0.24236913	0.17139988	0.0058043827
r	0.0016886964	0.010888252	0.03805101	0.08086649	0.5142952	0.1841496	0.17006075
è	0.055319484	0.041133422	0.056620765	0.02926572	0.5266845	0.22519144	0.06578464
t	0.00393412	0.0024136931	0.009634923	0.029737858	0.16374084	0.63283986	0.1576987
s	0.0022017974	0.0015138953	0.0042956374	0.038296387	0.5486319	0.22779632	0.17726403
u	0.013166542	0.004444117	0.0077854255	0.008818077	0.23307194	0.6370593	0.09565467
m	0.002438424	0.00201499	0.0042251674	0.031922862	0.01903066	0.4803365	0.46003148
e	0.0071701356	0.0036824844	0.006340105	0.056698326	0.11802788	0.37195817	0.43612283
m	0.011778323	0.004664194	0.007618969	0.03424616	0.0126400385	0.66464543	0.26440695
à	0.005445094	0.003150118	0.004092911	0.023805622	0.00903131	0.61526924	0.3392057
i	0.007978762	0.0041444683	0.0059328475	0.0073580947	0.005525425	0.77654815	0.19251221
</S>	0.0022684515	0.00159792	0.0014487591	0.009214223	0.0014050744	0.38736123	0.59670436
