 	il	morto	si	piange	</S>
o	0.99937373	0.00048066096	8.3887106e-05	4.6546822e-07	6.125336e-05
a	0.82961845	0.052686516	0.025541047	0.006078472	0.08607548
p	0.87771845	0.05938119	0.0068267784	0.0009933562	0.055080302
e	0.47963512	0.38690788	0.043962903	0.0062722545	0.08322177
t	0.8003057	0.18286426	0.009220735	0.00043300746	0.0071762614
a	0.01845563	0.89260155	0.02264237	0.023263583	0.04303677
m	0.27639487	0.36736184	0.33894154	0.012875699	0.0044259964
m	0.0037881755	0.77620023	0.04243452	0.12514055	0.052436505
è	0.10640809	0.5763075	0.046850648	0.060518734	0.20991509
n	0.2502083	0.15828262	0.51925856	0.0144277755	0.057822745
o	0.0059544807	0.6215914	0.027225602	0.27417517	0.071053326
i	0.3871519	0.034957282	0.30185914	0.20406938	0.07196225
k	0.03330322	0.017890733	0.12774454	0.57210857	0.248953
l	0.006535909	0.012002853	0.037565444	0.8713623	0.07253345
è	0.013267369	0.012755224	0.0042432365	0.10701611	0.86271805
e	0.040153194	0.007718903	0.07408252	0.3592007	0.5188447
t	0.0022314682	0.0027705282	0.015808312	0.39571077	0.5834789
e	0.0013846991	0.0072876094	0.014394975	0.84433895	0.13259375
</S>	0.022725027	0.0011073683	0.010619599	0.07605919	0.8894888
