 	questa	canzone	è	scritta	da	un	poeta	nostro	</S>
i	0.9997447	0.0002266776	2.4517605e-05	2.2946685e-06	1.3137384e-06	1.08592936e-07	1.5774674e-07	3.2576608e-08	1.846675e-07
s	0.9369901	0.022706727	0.018970087	0.008709914	0.0035519016	0.0046684276	0.00037198962	0.00077478075	0.0032561398
o	0.94936764	0.024628233	0.01575448	0.0017260965	0.00059348124	0.0002556603	5.3238087e-05	6.569508e-05	0.007555514
t	0.6499742	0.32582545	0.023011863	0.00042440445	0.00030026966	0.00012587309	6.4350875e-06	2.852903e-05	0.00030299032
r	0.5083889	0.14759707	0.2102006	0.006526454	0.0031514666	0.0014504843	0.000274284	0.0009806561	0.121430136
a	0.30609047	0.6535437	0.03038228	0.0050814324	0.0041246912	0.00025262721	4.058378e-05	5.8713256e-05	0.00042545615
ù	0.07691331	0.8667391	0.054789495	0.0009874601	0.00031162205	4.614125e-05	1.5051147e-06	1.116069e-05	0.00020015187
d	0.038968753	0.7417696	0.19710499	0.015892345	0.0026626803	0.0009929684	1.43655625e-05	0.00011251516	0.0024818012
i	0.012456461	0.20857732	0.59318274	0.07661947	0.014052738	0.005582601	0.00027362793	0.0023680017	0.086886995
è	0.031741176	0.12969358	0.75644296	0.07812313	0.0031859875	0.00042070137	3.8763146e-06	3.0847976e-05	0.00035778256
n	0.03523092	0.065515414	0.5087417	0.32768986	0.048788663	0.0050209924	0.00013106831	0.00044512062	0.008436303
g	0.0022928286	0.014469607	0.35979733	0.5477805	0.018118516	0.005037735	0.00015630342	0.004041018	0.048306204
r	0.08861025	0.13051534	0.044739015	0.24165994	0.4314937	0.04270744	0.0064427066	0.006302056	0.0075295432
a	0.10347064	0.090139195	0.1017407	0.43009794	0.2103712	0.019221425	0.007571886	0.009657179	0.027729725
m	0.0036999662	0.015815824	0.06044642	0.59458715	0.31222504	0.011060844	0.00095134525	0.0001748719	0.0010385682
m	0.0016536776	0.007591068	0.029000135	0.6925107	0.10011337	0.026919113	0.0026502504	0.019098407	0.12046324
è	0.02440428	0.033445287	0.008158713	0.26841113	0.538875	0.024995688	0.04835782	0.010745376	0.042606656
n	0.0012247731	0.0036848942	0.013752606	0.061416835	0.8130006	0.09139107	0.012211023	0.00059707323	0.0027211742
o	0.0056653805	0.014880104	0.012451896	0.3140936	0.29805017	0.08742321	0.0383689	0.07195665	0.1571101
p	0.0021751823	0.0057720207	0.013372173	0.019966878	0.35785604	0.55895495	0.039625388	0.0017527555	0.00052462326
u	0.002289539	0.009520393	0.016188286	0.006503222	0.40354732	0.38269922	0.05640845	0.012664793	0.110178806
s	0.00087876146	0.003427015	0.0067290477	0.0013159993	0.09174321	0.85408163	0.028740026	0.0037972506	0.009287082
s	0.001853866	0.007444793	0.019540407	0.008608466	0.08759926	0.31985292	0.15544875	0.041092515	0.35855904
è	0.0045629125	0.011134317	0.0033784625	0.008495219	0.088179	0.11242704	0.50420964	0.05510042	0.212513
n	0.00048559855	0.0011001138	0.003462403	0.0033948028	0.03870627	0.6033818	0.30424812	0.020151913	0.025068939
a	0.0014407415	0.0028234967	0.010576502	0.012328599	0.037770547	0.22886077	0.44973502	0.07020251	0.18626186
p	0.0021539973	0.0050207903	0.014064828	0.011510149	0.0658983	0.3405117	0.2832258	0.25403625	0.023578225
o	0.00071384665	0.002967506	0.0058807633	0.0006709634	0.009821039	0.17057025	0.418583	0.056516793	0.3342758
è	0.0016801045	0.007548302	0.013205779	0.0015032779	0.023538906	0.3657815	0.11819225	0.31854257	0.15000722
t	0.004917262	0.0056378837	0.005210606	0.00232533	0.007999297	0.07048978	0.4076717	0.41472986	0.08101819
a	0.0005544791	0.0017708144	0.003340324	0.0014528717	0.0049581015	0.09535156	0.13969652	0.7079999	0.04487543
d	0.0007928639	0.0017229614	0.0021286288	0.00057513715	0.0067827464	0.062993415	0.01822967	0.59513503	0.31163952
i	0.0013163623	0.004776396	0.015562962	0.0028902763	0.0052450965	0.060431033	0.10370748	0.5896647	0.21640565
k	0.00062033604	0.002675507	0.0041798097	0.0007267814	0.00528443	0.062329285	0.014403007	0.6550097	0.2547711
ò	0.0019623283	0.0065363995	0.022484414	0.0048626303	0.005124259	0.044658046	0.063623026	0.69419813	0.15655077
m	0.0017358998	0.0026376229	0.003557273	0.0023783166	0.0030313404	0.014089361	0.02991757	0.7556178	0.18703493
m	0.00207333	0.003637493	0.020449642	0.0037687456	0.00690889	0.07844208	0.051864956	0.7019112	0.13094363
a	0.0075493553	0.01795476	0.008538312	0.016339235	0.05197436	0.027203908	0.26965758	0.5348049	0.06597755
</S>	8.169041e-05	0.0003888783	0.001026908	0.0001436758	0.0023498693	0.014067695	0.001886897	0.10283811	0.8772163
