 	la	macchina	vuole	riparata	dal	meccanico	</S>
e	0.9997322	0.000246232	2.3000778e-06	6.305598e-07	1.0913612e-05	1.221688e-06	6.604496e-06
m	0.6660143	0.24603772	0.020674817	0.0127531905	0.0413222	0.0008754258	0.012322358
à	0.3584048	0.6076065	0.010272739	0.0030689796	0.0047412366	0.0013537713	0.014552106
k	0.11123021	0.879122	0.0067780945	0.00025152712	0.001217299	1.9987723e-05	0.00138075
i	0.11791854	0.7277021	0.0304942	0.003939728	0.0030315393	0.009523406	0.10739052
n	0.12317356	0.8163203	0.05979362	0.00035182096	0.000117209805	7.8926104e-07	0.00024267359
a	0.025297116	0.52020687	0.42580244	0.0049135378	0.002295513	0.003130224	0.0183543
t	0.11955523	0.17950842	0.69385517	0.0035469693	0.00054636964	1.2747237e-05	0.0029750895
è	0.0044256765	0.07401319	0.8971184	0.010657436	0.0008630037	0.00089301675	0.012029146
l	0.008920337	0.0115504805	0.9526108	0.025411118	0.0011403133	4.6256962e-05	0.00032074144
i	0.004675874	0.023049723	0.92187077	0.037012074	0.00050964113	0.0011838584	0.0116981
s	0.15238139	0.19921863	0.42049542	0.20260178	0.020165125	0.00011840629	0.0050192266
t	0.0019751885	0.013511596	0.6494266	0.316874	0.0014624986	0.0013431743	0.015406958
i	0.03889025	0.007346265	0.62990075	0.10564245	0.13035929	0.032876752	0.05498429
a	0.02354463	0.09530752	0.1851563	0.5736906	0.09876792	0.00030091	0.023232132
m	0.009345406	0.034656823	0.112501144	0.74428356	0.09040463	0.005145459	0.0036629224
m	0.0108254	0.040688023	0.112928554	0.76545155	0.016893843	0.0068051224	0.046407484
è	0.05996967	0.020525308	0.060549144	0.40133846	0.13291791	0.008220445	0.31647912
n	0.011520512	0.010780887	0.038046908	0.14966173	0.7639503	0.0033828374	0.022656867
i	0.0074655856	0.016616507	0.032065216	0.8582812	0.054440085	0.0042262436	0.026905075
a	0.016891515	0.011625794	0.025909564	0.015345726	0.89856756	0.0030395768	0.028620364
t	0.021748956	0.079806924	0.032689646	0.037733857	0.32374066	0.32251173	0.18176821
t	0.028470758	0.099019475	0.04453372	0.05882598	0.19616441	0.33734578	0.23563987
o	0.014557369	0.020270552	0.011951382	0.016887078	0.19967282	0.027024787	0.70963603
m	0.009929341	0.023435045	0.021508683	0.012023822	0.27826568	0.08842569	0.5664117
e	0.02448912	0.05813856	0.010383457	0.072285086	0.09600449	0.056293588	0.6824057
k	0.016441619	0.021667305	0.021144934	0.015282767	0.26640186	0.07085886	0.5882027
k	0.031339604	0.07337907	0.011856217	0.047924332	0.034829687	0.1956345	0.60503656
à	0.039863728	0.017157149	0.033977263	0.018175777	0.14056696	0.44102535	0.30923378
n	0.0011172888	0.0010923226	0.0019866435	0.0019239606	0.028347315	0.5977021	0.3678303
i	0.065870166	0.1722932	0.009808225	0.07108322	0.03538841	0.15991902	0.48563778
k	0.010747857	0.010767232	0.010196582	0.012574822	0.07297911	0.10190687	0.7808275
o	0.04547717	0.112251244	0.005941925	0.029933691	0.0138257835	0.35640115	0.43616903
</S>	0.023164306	0.03414328	0.013215047	0.008088715	0.032143388	0.13868521	0.75056005
