 	forse	non	li	ha	a	casa	</S>
f	0.9990522	0.00053819217	0.00039969897	5.638051e-06	1.4904854e-06	5.5648434e-07	2.1009512e-06
ò	0.9780277	0.008197625	0.005932674	0.0026235366	0.001055723	0.00035648086	0.0038062104
r	0.9689868	0.011104356	0.010997559	0.0012617827	0.0016444277	0.0005554034	0.005449701
s	0.65293103	0.03429437	0.013945969	0.017795393	0.0032768152	0.011402463	0.26635405
i	0.7603237	0.01500795	0.21136534	0.00762244	0.004359491	0.0004534027	0.0008676599
e	0.27835003	0.3275978	0.38846663	0.0032512157	0.0006811068	4.8933245e-05	0.0016043178
t	0.021543566	0.28101388	0.62557894	0.06511996	0.0023594638	0.00026369232	0.0041205897
u	0.052310985	0.1695508	0.4256298	0.21529824	0.029301213	0.0043573137	0.1035517
s	0.024801891	0.040675912	0.8134791	0.10467281	0.0108061675	0.0008933101	0.0046707643
è	0.011178638	0.056689814	0.17591497	0.3569003	0.113487974	0.03357513	0.25225323
c	0.029372793	0.10151755	0.48346496	0.30664885	0.072624214	0.00097603793	0.005395679
h	0.07525148	0.1053186	0.109883994	0.14389773	0.036461163	0.09457067	0.43461642
i	0.14643307	0.005081154	0.262148	0.14398696	0.14415926	0.25812998	0.040061526
è	0.028087998	0.006298121	0.12511909	0.3330788	0.40398508	0.044657383	0.058773566
s	0.012515213	0.0072826617	0.033593852	0.061549656	0.41372663	0.32956424	0.14176774
s	0.00037738515	0.00461331	0.0030649495	0.050356522	0.2032781	0.5579142	0.18039557
u	0.018344525	0.002818005	0.014442191	0.022777587	0.21406116	0.51994795	0.2076086
</S>	0.002487062	0.0032396317	0.010141127	0.037550204	0.0760218	0.3691645	0.5013957
