 	dovevo	comprare	il	pane	</S>
ì	0.9967758	0.0010120184	0.0013477722	0.0005698954	0.00029449843
c	0.9499153	0.0099006705	0.014292783	0.0031160885	0.022775153
h	0.43041503	0.13393947	0.29289073	0.015320945	0.12743382
a	0.75985837	0.038963523	0.061055344	0.08912891	0.05099378
n	0.03129688	0.95545954	0.008090738	0.000117181946	0.0050356714
a	0.062058292	0.8903801	0.038624905	0.0006422433	0.008294467
a	0.014752402	0.89537984	0.08795551	0.00026998422	0.0016422326
f	0.008659426	0.88882625	0.10108204	0.00013465784	0.0012976035
o	0.032159284	0.76927257	0.11496908	0.0032469968	0.080352105
r	0.0034184698	0.060964447	0.93307453	0.0008523795	0.0016901896
à	0.07342441	0.23347618	0.5681891	0.01243023	0.1124801
s	0.014399565	0.019860221	0.94260824	0.010850414	0.012281531
o	0.019551616	0.031795934	0.40611306	0.43527335	0.10726605
t	0.0031582862	0.047602415	0.46752518	0.3644675	0.11724658
o	0.01546728	0.012737011	0.08057205	0.7643559	0.1268678
t	0.0062953103	0.06610005	0.36987105	0.39833486	0.15939876
s	0.013234381	0.0072686397	0.030958237	0.83058065	0.1179581
o	0.007060544	0.0028166326	0.015122131	0.9447174	0.03028327
m	0.007369177	0.046292778	0.25910613	0.208547	0.47868493
ì	0.0061481604	0.0014274513	0.004273255	0.94819593	0.03995512
</S>	0.003537883	0.00782866	0.04399372	0.07858331	0.86605644
