 	non	sono	ancora	vestita	</S>
e	0.9248958	0.07455323	0.00018846615	3.172195e-06	0.00035933958
n	0.8320672	0.04116204	0.040248375	0.013524821	0.072997615
ì	0.35131058	0.44110742	0.025007494	0.0059916847	0.17658281
m	0.12795211	0.8330066	0.009344613	0.009302578	0.02039411
e	0.061574865	0.38711742	0.19549806	0.11799395	0.23781575
a	0.08001979	0.76442665	0.12975334	0.012920039	0.012880198
n	0.020978168	0.04824831	0.7701578	0.12017523	0.040440544
k	0.021015082	0.021920344	0.77516586	0.08522224	0.09667647
ò	0.038946502	0.07828588	0.21506917	0.47911483	0.18858363
r	0.11380918	0.030439783	0.81424075	0.009408453	0.03210183
a	0.0012318442	0.012210294	0.8946402	0.072364785	0.019552853
e	0.24714918	0.05091117	0.33524778	0.053357907	0.313334
n	0.0044587324	0.0053351345	0.104835995	0.4780398	0.40733033
d	0.0029596824	0.004778984	0.049157687	0.908333	0.034770653
i	0.01783865	0.025908122	0.046803165	0.08096674	0.8284833
m	0.009192486	0.009733537	0.03322059	0.23093648	0.716917
è	0.004637089	0.059279535	0.45309094	0.29620072	0.18679169
n	0.035398245	0.006832075	0.02016037	0.13712162	0.80048764
i	0.0047860304	0.08698401	0.09105836	0.723872	0.09329962
</S>	0.0031083794	0.0008996209	0.004557235	0.008796213	0.9826385
