 	vuole	vuole	mangiato	caldo	</S>
t	0.9994728	0.00039684738	2.4041941e-05	2.085838e-05	8.54217e-05
è	0.882333	0.014610772	0.007872387	0.005896156	0.089287624
l	0.89792806	0.07854494	0.015613458	0.0015444012	0.0063691847
i	0.9548317	0.010739434	0.0016162016	0.0008215897	0.031991076
t	0.19540872	0.7807647	0.023438437	9.807525e-05	0.00029001554
è	0.13568771	0.77500886	0.021268662	0.0016609845	0.0663738
l	0.050743226	0.89592236	0.052851684	0.000100183155	0.00038254535
i	0.08026361	0.84840983	0.0177747	0.0026273048	0.050924663
f	0.055973258	0.15898582	0.77486163	0.0062039997	0.0039752577
a	0.037980344	0.80050915	0.08997096	0.010914742	0.060624737
m	0.012070923	0.045254074	0.9305994	0.0075678844	0.0045077987
è	0.011975723	0.3379026	0.45086154	0.02513947	0.17412068
n	0.0059794337	0.03555768	0.9100417	0.04413554	0.0042856047
o	0.016395153	0.10907277	0.3239769	0.1560162	0.394539
t	0.024607738	0.029455215	0.23979704	0.5291571	0.17698294
r	0.0023490204	0.02535891	0.14560245	0.6322849	0.19440478
e	0.003391307	0.015732827	0.013918926	0.46154952	0.5054074
m	0.003408335	0.016749954	0.17522234	0.30011407	0.50450534
m	0.00066245	0.0070413845	0.019287268	0.71296	0.26004896
ò	0.0072543793	0.00850671	0.004626001	0.8406168	0.13899608
</S>	0.0005210902	0.0019202922	0.01021257	0.053817417	0.9335286
