 	perché	aveva	lavorato	molto	</S>
j	0.99868053	0.0012426628	5.6094028e-05	6.0629636e-06	1.4601274e-05
a	0.99246067	0.0057531316	0.0013838257	9.743205e-05	0.00030488067
t	0.9721511	0.026380971	0.0009993754	4.472502e-05	0.00042381015
ì	0.60413504	0.347603	0.017370641	0.0011295127	0.029761761
ì	0.81465316	0.18024735	0.0045531956	4.2289324e-05	0.00050409714
c	0.10278284	0.84938866	0.04725024	0.00013124685	0.00044702276
h	0.2897115	0.45462152	0.15001896	0.0051838066	0.100464225
e	0.62004507	0.13944829	0.22584629	0.008048342	0.006612041
p	0.058948174	0.08327792	0.8545096	0.0019765699	0.0012876851
o	0.008987368	0.035405617	0.93336016	0.0066307676	0.015616052
l	0.094488606	0.019496093	0.8586315	0.009045763	0.018338041
e	0.008227693	0.042563085	0.8574156	0.019049138	0.07274456
m	0.090256914	0.018247167	0.5610048	0.25026646	0.08022462
ì	0.0031606054	0.030287357	0.8185035	0.06272354	0.085324995
s	0.03015472	0.020125916	0.412455	0.4000977	0.1371667
o	0.002529458	0.013645116	0.27808562	0.57797617	0.12776363
n	0.0157049	0.0037175163	0.06825698	0.56866854	0.34365213
t	0.0022706646	0.024486747	0.17785943	0.7255201	0.069863096
a	0.008190398	0.0036887543	0.06645172	0.84112215	0.080546945
p	0.0046196138	0.004100551	0.10546841	0.4773621	0.40844926
o	0.0006452245	0.011516326	0.011195284	0.89983284	0.07681034
d	0.007580519	0.030519618	0.04033578	0.39644775	0.5251163
d	0.0011962777	0.027412608	0.02140623	0.81899405	0.13099082
h	0.0032910611	0.004385155	0.056510393	0.91804886	0.017764546
ì	0.0031646192	0.0030574182	0.07895393	0.90093565	0.013888392
</S>	0.0016157796	0.0012743785	0.018390303	0.1103254	0.8683941
