 	vuole	andare	a	Lecce	</S>
i	0.9958852	0.0033512015	0.00067431724	1.3593875e-05	7.557661e-05
t	0.9852684	0.010594729	0.0024518135	6.4631866e-05	0.0016203775
è	0.8879035	0.05515077	0.016485306	0.0016275569	0.03883265
l	0.6831579	0.300696	0.014646558	0.00010973321	0.0013898744
i	0.82739	0.08505929	0.028501214	0.007763579	0.051285967
n	0.01718681	0.7822751	0.20031065	0.0001306568	9.677243e-05
a	0.19453122	0.39992258	0.30094075	0.055968918	0.048636537
p	0.07390448	0.41354305	0.50789785	0.0015273168	0.003127288
à	0.02352462	0.25488776	0.5786184	0.11989212	0.023077073
i	0.03964237	0.17455207	0.63360566	0.13997245	0.012227531
L	0.0064917984	0.02465319	0.104364745	0.81164515	0.05284516
u	0.005371545	0.024359934	0.057643436	0.80264604	0.10997902
p	0.05008983	0.40847093	0.44280025	0.022658346	0.075980656
p	0.000788081	0.012437732	0.056732014	0.83259505	0.09744717
ì	0.045898534	0.2265976	0.45820424	0.041857082	0.2274425
u	0.012007417	0.05568559	0.13801953	0.030026948	0.7642606
n	0.00033069652	0.00450454	0.027034098	0.43468517	0.5334455
a	0.0019250102	0.09467812	0.27095062	0.39849573	0.23395054
</S>	0.0038910303	0.020748885	0.046029508	0.0040357597	0.9252948
