 	Marika	cerca	una	macchina	che	consuma	fa	poco	consumo	in	benzina	</S>
e	0.9996704	0.0002574168	6.100811e-05	7.779172e-06	2.2336344e-06	4.2806465e-07	1.811154e-07	8.595571e-08	2.2036508e-08	2.0104568e-07	1.7928176e-07	1.3262999e-07
M	0.9126343	0.003816727	0.011339767	0.03472635	0.018858094	0.00797034	0.005119629	0.0017706366	0.0013380338	0.00042650008	0.000108214816	0.0018913151
à	0.97179776	0.0057979156	0.013229922	0.0033837378	0.003182269	0.0008234352	0.00061637844	0.00026722284	6.693268e-05	0.00035278127	9.065444e-05	0.00039093292
r	0.7369147	0.23531587	0.023606423	0.00337415	0.0006260143	7.662765e-05	5.6334196e-05	1.3549675e-05	1.4161792e-06	5.1463307e-06	2.1468918e-06	7.635181e-06
i	0.771737	0.1585549	0.06260809	0.0037844642	0.0020299235	0.0005168713	0.00038196007	0.00013473161	4.758189e-05	0.00014166352	2.6174219e-05	3.6615522e-05
k	0.06589472	0.8495834	0.081904404	0.0018196595	0.00055789057	0.00010663095	6.688097e-05	1.7849788e-05	3.4348122e-06	1.40136935e-05	1.0636864e-05	2.0567486e-05
a	0.13747567	0.6617647	0.13455313	0.041341837	0.008927219	0.0021940137	0.0037840437	0.0017572709	0.0010085645	0.0007759545	0.0007895267	0.00562809
j	0.012251859	0.39921212	0.57012635	0.01641841	0.0015794211	0.0001921097	0.00011428464	2.1895761e-05	5.2506193e-06	1.1324067e-05	8.34217e-06	5.8516292e-05
u	0.07377478	0.54972357	0.2619261	0.08651545	0.012168399	0.0020547153	0.0026615134	0.00094168034	0.00040082412	0.00023471862	0.00023715541	0.009361105
r	0.0044185147	0.06601464	0.8137261	0.11064342	0.0045091477	0.00028241903	0.00026339164	6.6000175e-05	8.53809e-06	5.5133514e-06	3.1338784e-06	5.92982e-05
è	0.07074338	0.2204314	0.42507038	0.22928005	0.035317995	0.0046147816	0.0060529956	0.0021999811	0.00048811044	0.0001943961	0.00012188909	0.005484685
i	0.0024985701	0.04277367	0.51489437	0.4248051	0.010420304	0.0028513293	0.0013260779	0.00018879856	5.8419002e-05	2.9946403e-05	5.800776e-06	0.00014753158
m	0.0014970715	0.0043960987	0.17464425	0.79066265	0.023572093	0.0026159387	0.0015939228	0.0005514208	0.00021068557	1.7947577e-05	2.6679568e-06	0.00023522126
i	0.005605607	0.017377611	0.26901424	0.6592116	0.035285827	0.0031851907	0.0032138224	0.0011328227	0.00021971518	6.706663e-05	0.00011683672	0.0055697258
a	0.0004327604	0.0016932334	0.04052999	0.86185586	0.0894836	0.0022724802	0.0024202634	0.0011207798	9.428677e-05	8.857731e-06	1.4184565e-06	8.6384636e-05
m	0.002253717	0.0060315356	0.046854164	0.82719797	0.09563428	0.007514719	0.008053671	0.005477608	0.00062232045	6.576563e-05	6.0772436e-06	0.00028828665
à	0.0068499357	0.040148865	0.08999371	0.6255893	0.17523038	0.021448648	0.020708108	0.008050184	0.0009404575	0.00014882242	0.0006551248	0.010236495
k	0.0111629795	0.026766902	0.051970363	0.47879782	0.282282	0.07490722	0.037917677	0.02676565	0.0044276193	0.00062169385	0.00014363926	0.004236385
i	0.006293443	0.08197625	0.036071718	0.23912062	0.3716611	0.15245713	0.0463214	0.010865677	0.004779631	0.00045487666	0.010886177	0.03911187
n	0.00073237135	0.0028159707	0.011270583	0.087250724	0.55821586	0.23212361	0.07780441	0.026712105	0.0024576108	5.9306498e-05	6.462162e-06	0.0005508991
a	0.006023336	0.026200773	0.019564487	0.11116531	0.30362502	0.4017149	0.067767255	0.021667864	0.007384145	0.00058772415	0.005336614	0.028962584
k	0.00040334076	0.0016108317	0.0072615608	0.02507771	0.16311446	0.51887125	0.21046747	0.06614637	0.0064575863	0.00012381366	1.6936987e-05	0.00044869888
a	0.006067355	0.030860785	0.017551351	0.050144885	0.11344066	0.6035977	0.09762508	0.038532853	0.010925094	0.00071663	0.0056689554	0.02486866
k	0.00052340224	0.002061708	0.0056676534	0.011794855	0.04183438	0.45641142	0.31519052	0.14975154	0.015824467	0.00022635583	2.4396972e-05	0.00068939035
o	0.0038768852	0.025835771	0.011898692	0.025764575	0.048715476	0.62976325	0.13980499	0.06251494	0.019912172	0.00091107143	0.008508386	0.02249379
n	0.00036668574	0.0015642938	0.0036881757	0.00630173	0.0152326645	0.26177138	0.39201352	0.28502598	0.032925	0.00038556376	3.2701642e-05	0.0006923271
s	0.003349244	0.024179818	0.01051533	0.01829397	0.028553773	0.47009066	0.21774502	0.13939907	0.043739215	0.0015998865	0.015545358	0.02698856
u	0.013485042	0.19914232	0.018673502	0.003617316	0.015351572	0.1422824	0.1069478	0.07258309	0.02251988	0.053190783	0.08174211	0.27046418
m	0.00016873746	0.0007689715	0.0013883612	0.0038297856	0.009718875	0.21337731	0.39135462	0.31224462	0.06436622	0.0013857647	6.4071544e-05	0.0013327111
è	0.0049324976	0.039923355	0.009860927	0.01531886	0.022180857	0.37170452	0.17307308	0.16022177	0.04672561	0.0065799826	0.037545335	0.11193327
i	0.00014082197	0.00062393106	0.0008671207	0.0010808264	0.0027080423	0.086401984	0.24170321	0.42218238	0.23039299	0.013076412	0.00028150028	0.00054070837
k	0.00034419642	0.00092989154	0.0020115657	0.0017099817	0.0012744163	0.0043566497	0.05903011	0.77579445	0.13815063	0.008385179	0.004114429	0.003898529
à	0.0021844103	0.021283822	0.0095563615	0.010238003	0.0067374054	0.020699952	0.08188724	0.655849	0.1466602	0.0052501075	0.025157426	0.0144961
n	0.0007777388	0.0020567926	0.0017501595	0.0015921241	0.0017058403	0.0060102358	0.02845696	0.5112831	0.41123438	0.024781125	0.0070628896	0.0032886202
