 	l'	anno	che	viene	mia	sorella	sta	per	sta	per	studiare	medicina	</S>
t	0.9890886	0.0104773985	6.087307e-05	0.0003578726	7.904754e-06	2.2518086e-06	3.353432e-06	7.010992e-07	4.8139225e-07	1.2288756e-07	8.006495e-08	5.0170303e-08	2.034424e-07
o	0.16145988	0.24592082	0.007909629	0.5043206	0.025465673	0.009890806	0.0090900725	0.00822556	0.006022659	0.004734952	0.0026679689	0.0007686843	0.01352264
c	0.06338043	0.9135089	0.0014249238	0.018099925	0.002317819	0.0005464935	0.0002482632	0.00022303186	7.648566e-05	5.3423457e-05	1.5252948e-05	2.030793e-05	8.477623e-05
h	0.0113937985	0.43889523	0.011832249	0.416495	0.03334039	0.0065881447	0.007354396	0.0065098726	0.0037160804	0.0020353287	0.00079891563	0.00066813105	0.060372476
r	0.63081986	0.36461344	0.0011176921	0.0024429292	0.0006765769	0.00015700435	0.00010063978	3.519677e-05	1.8947761e-05	7.285331e-06	4.6442124e-06	1.0236579e-06	4.7823587e-06
ò	0.27548552	0.70364326	0.015016525	0.0029359164	0.0022303155	0.00019465656	0.00029132178	0.00012988754	3.9069597e-05	9.903149e-06	6.2211016e-06	1.9194833e-06	1.5470867e-05
n	0.13127944	0.7800766	0.08289899	0.0044827485	0.0009219272	8.7360764e-05	0.00011063674	4.3913926e-05	2.3263665e-05	5.964931e-06	2.108369e-06	7.608674e-07	6.629768e-05
o	0.014063163	0.65772444	0.12952368	0.115277685	0.024875851	0.017185958	0.0022107786	0.004168333	0.0017210766	0.0009488286	0.00049642456	0.00075003353	0.03105377
k	0.049960203	0.084111296	0.7657424	0.0956422	0.0038039356	0.00039689516	0.00017692466	9.523476e-05	3.4621888e-05	6.165491e-06	2.340884e-06	1.6539055e-06	2.6141424e-05
a	0.0053112665	0.18646416	0.33802056	0.41043893	0.025003541	0.01937827	0.002314828	0.0038328394	0.0012765627	0.00045510172	0.00030008296	0.00011279617	0.007091106
m	0.027776733	0.034516096	0.5680519	0.3476633	0.01932196	0.0018192198	0.0003545658	0.00026795838	7.5044074e-05	2.8611776e-05	1.0343157e-05	8.762967e-06	0.00010559542
b	0.0015064434	0.0400591	0.159542	0.75979716	0.024964372	0.0074045514	0.00075382605	0.0015079821	0.00034209184	0.00013866887	0.00010985785	5.2286163e-05	0.0038216386
è	0.06285745	0.040999524	0.5986425	0.2173255	0.041709304	0.003493358	0.020524587	0.0076987096	0.00471528	0.0010091068	0.00040128105	9.771251e-05	0.0005256554
n	0.0148621695	0.015149468	0.34823912	0.47336087	0.13833539	0.006262639	0.002190142	0.0011598757	0.00018842636	4.7714257e-05	1.2412146e-05	5.8863952e-06	0.00018580661
n	0.0027446675	0.03121672	0.12807126	0.7821851	0.03301071	0.007302704	0.0030592796	0.0048102424	0.0016318506	0.0004842912	0.00054894626	0.00035866766	0.004575556
i	0.29062042	0.03406984	0.24992791	0.2675758	0.0912302	0.008783166	0.033047505	0.011336886	0.0072942167	0.0027541455	0.00057968363	0.00028901882	0.002491238
t	0.0067133275	0.010641982	0.06450445	0.11917994	0.7715296	0.019611137	0.0052387263	0.0017666981	0.00032376588	0.00014887088	5.15507e-05	1.6145832e-05	0.00027377903
i	0.0017374962	0.024778832	0.035634145	0.710919	0.16857988	0.019409308	0.007640556	0.008739584	0.0035762596	0.0014933597	0.0016263904	0.00086618814	0.014999009
n	0.0017231372	0.0014031891	0.0022441745	0.005859404	0.87254053	0.10992189	0.0043607866	0.0015667401	0.00014240442	0.00010749352	3.4208497e-05	3.2038075e-05	6.405168e-05
a	0.0014786809	0.017191188	0.012298034	0.14963515	0.5373451	0.2405949	0.011481786	0.01389626	0.0024296418	0.00092662586	0.0006950383	0.00056662736	0.011460982
d	0.002477964	0.0016222392	0.001629812	0.0022196793	0.58104295	0.39294976	0.013463272	0.0038331153	0.00026591847	0.00019117311	5.6978057e-05	6.19638e-05	0.00018518003
r	0.0011838843	0.009527735	0.005589448	0.03121703	0.578858	0.32829416	0.018612206	0.013975379	0.002640248	0.0016860635	0.0011384722	0.00068623904	0.0065911124
e	0.056028448	0.059614565	0.06941682	0.043719057	0.32955873	0.10067138	0.14626828	0.069960535	0.04357782	0.013327585	0.005500301	0.0037363698	0.0586201
f	0.0016905058	0.001019942	0.0012701406	0.001084289	0.1645265	0.6328322	0.17170374	0.023046251	0.001644392	0.0005511118	0.000130149	7.1127826e-05	0.00042964655
f	0.00080407754	0.0040625143	0.006147235	0.018529393	0.10834968	0.6430925	0.09669345	0.030392304	0.012605293	0.0054271515	0.0026995495	0.002947898	0.068249024
ì	0.17695253	0.13326037	0.09267874	0.029135179	0.08933612	0.034073092	0.3433841	0.056431495	0.02388165	0.0045615723	0.0012172692	0.0004222703	0.014665613
