 	il	morto	vuole	pianto	</S>
o	0.9993315	0.000516815	1.4120806e-05	3.179003e-07	0.00013720391
p	0.85182756	0.0997405	0.012886196	0.005636441	0.029909374
e	0.9131537	0.04982762	0.0046888	0.00035630507	0.031973664
s	0.87914395	0.10710142	0.005702367	0.00013583555	0.0079164235
a	0.17678496	0.6636594	0.06555229	0.0040852525	0.08991817
m	0.30455285	0.5965398	0.09657763	3.7790436e-05	0.0022918717
m	0.0064256047	0.9028923	0.017225305	0.03181509	0.041641712
è	0.12951565	0.7710004	0.024950406	5.688503e-05	0.07447677
n	0.33507058	0.47057578	0.17394625	2.7605844e-05	0.020379769
o	0.0027220645	0.94394934	0.01663127	0.02023044	0.016466936
t	0.2911918	0.056227773	0.62607205	0.00023627146	0.026272109
è	0.005976492	0.30019066	0.3944062	0.16214377	0.13728285
l	0.01562298	0.004701474	0.97423697	7.902653e-05	0.0053596906
i	0.0046279463	0.12963241	0.25511292	0.26867083	0.34195587
g	0.20093341	0.019629639	0.13085209	0.0014510398	0.6471338
l	0.0066979243	0.016909644	0.22582516	0.26261348	0.4879538
a	0.10947046	0.066371836	0.16589867	0.11031342	0.5479456
m	0.06924533	0.007393917	0.14895022	0.011226316	0.7631842
m	0.006001996	0.023361744	0.034889292	0.7305512	0.20519583
è	0.047765847	0.13554865	0.029223021	0.042615417	0.7448471
n	0.0034952918	0.0010337168	0.009580448	0.0010229518	0.98486763
o	0.05144364	0.08967584	0.074085236	0.69177204	0.09302327
</S>	0.01195115	0.0018730479	0.014729425	0.0023926224	0.96905375
